name,index,year,D,S
Edirne,SPI12,1978,3,1.14
Edirne,SPI12,1978,4,1.279
Edirne,SPI12,1978,5,1.527
Edirne,SPI12,1978,6,1.886
Edirne,SPI12,1978,7,2.025
Edirne,SPI12,1978,8,0.0
Edirne,SPI12,1978,9,0.0
Edirne,SPI12,1978,10,0.0
Edirne,SPI12,1978,11,0.0
Edirne,SPI12,1978,12,0.0
Edirne,SPI12,1979,1,1.059
Edirne,SPI12,1979,2,1.633
Edirne,SPI12,1979,3,1.84
Edirne,SPI12,1979,4,2.121
Edirne,SPI12,1979,5,2.699
Edirne,SPI12,1979,6,3.273
Edirne,SPI12,1979,7,3.703
Edirne,SPI12,1979,8,3.858
Edirne,SPI12,1979,9,0.0
Edirne,SPI12,1979,10,0.0
Edirne,SPI12,1979,11,0.0
Edirne,SPI12,1979,12,0.0
Edirne,SPI12,1980,1,0.082
Edirne,SPI12,1980,2,0.0
Edirne,SPI12,1980,3,0.0
Edirne,SPI12,1980,4,0.0
Edirne,SPI12,1980,5,0.0
Edirne,SPI12,1980,6,0.0
Edirne,SPI12,1980,7,0.0
Edirne,SPI12,1980,8,0.0
Edirne,SPI12,1980,9,0.0
Edirne,SPI12,1980,10,0.0
Edirne,SPI12,1980,11,0.0
Edirne,SPI12,1980,12,0.0
Edirne,SPI12,1981,1,0.0
Edirne,SPI12,1981,2,0.0
Edirne,SPI12,1981,3,0.0
Edirne,SPI12,1981,4,0.0
Edirne,SPI12,1981,5,0.0
Edirne,SPI12,1981,6,0.0
Edirne,SPI12,1981,7,0.0
Edirne,SPI12,1981,8,0.0
Edirne,SPI12,1981,9,0.0
Edirne,SPI12,1981,10,0.0
Edirne,SPI12,1981,11,0.0
Edirne,SPI12,1981,12,0.0
Edirne,SPI12,1982,1,0.801
Edirne,SPI12,1982,2,1.451
Edirne,SPI12,1982,3,2.107
Edirne,SPI12,1982,4,2.137
Edirne,SPI12,1982,5,2.281
Edirne,SPI12,1982,6,2.31
Edirne,SPI12,1982,7,2.42
Edirne,SPI12,1982,8,2.521
Edirne,SPI12,1982,9,2.681
Edirne,SPI12,1982,10,2.907
Edirne,SPI12,1982,11,3.436
Edirne,SPI12,1982,12,3.925
Edirne,SPI12,1983,1,2.091
Edirne,SPI12,1983,2,4.065
Edirne,SPI12,1983,3,5.357
Edirne,SPI12,1983,4,6.406
Edirne,SPI12,1983,5,7.34
Edirne,SPI12,1983,6,8.24
Edirne,SPI12,1983,7,9.074
Edirne,SPI12,1983,8,9.76
Edirne,SPI12,1983,9,10.249
Edirne,SPI12,1983,10,10.778
Edirne,SPI12,1983,11,11.004
Edirne,SPI12,1983,12,11.213
Edirne,SPI12,1984,1,0.253
Edirne,SPI12,1984,2,1.098
Edirne,SPI12,1984,3,1.435
Edirne,SPI12,1984,4,1.652
Edirne,SPI12,1984,5,1.706
Edirne,SPI12,1984,6,2.606
Edirne,SPI12,1984,7,3.54
Edirne,SPI12,1984,8,4.589
Edirne,SPI12,1984,9,6.68
Edirne,SPI12,1984,10,8.654
Edirne,SPI12,1984,11,9.946
Edirne,SPI12,1984,12,10.78
Edirne,SPI12,1985,1,1.125
Edirne,SPI12,1985,2,2.093
Edirne,SPI12,1985,3,2.807
Edirne,SPI12,1985,4,3.642
Edirne,SPI12,1985,5,4.498
Edirne,SPI12,1985,6,5.323
Edirne,SPI12,1985,7,5.828
Edirne,SPI12,1985,8,6.628
Edirne,SPI12,1985,9,7.008
Edirne,SPI12,1985,10,7.328
Edirne,SPI12,1985,11,0.0
Edirne,SPI12,1985,12,0.0
Edirne,SPI12,1986,1,1.365
Edirne,SPI12,1986,2,2.636
Edirne,SPI12,1986,3,3.769
Edirne,SPI12,1986,4,4.997
Edirne,SPI12,1986,5,6.007
Edirne,SPI12,1986,6,7.234
Edirne,SPI12,1986,7,8.368
