name,index,bas_yil,bas_ay,son_yil,son_ay,L_ay,S,I,tepe
Çorlu,SPEI12,1973,11,1974,4,6,3.274,0.546,0.926
Çorlu,SPEI12,1974,8,1975,2,7,1.971,0.282,0.565
Çorlu,SPEI12,1975,5,1975,6,2,0.403,0.202,0.339
Çorlu,SPEI12,1977,11,1977,12,2,0.294,0.147,0.206
Çorlu,SPEI12,1979,6,1979,6,1,0.103,0.103,0.103
Çorlu,SPEI12,1979,9,1979,10,2,0.305,0.152,0.232
Çorlu,SPEI12,1982,12,1984,2,15,12.844,0.856,1.629
Çorlu,SPEI12,1984,9,1984,12,4,0.841,0.21,0.334
Çorlu,SPEI12,1985,3,1986,5,15,10.667,0.711,1.376
Çorlu,SPEI12,1986,11,1988,10,24,17.204,0.717,1.313
Çorlu,SPEI12,1989,2,1989,9,8,2.815,0.352,0.943
Çorlu,SPEI12,1989,11,1991,1,15,12.73,0.849,1.425
Çorlu,SPEI12,1992,5,1995,2,34,28.752,0.846,1.77
Çorlu,SPEI12,1996,1,1996,1,1,0.334,0.334,0.334
Çorlu,SPEI12,1996,6,1996,6,1,0.039,0.039,0.039
Çorlu,SPEI12,1996,11,1996,12,2,0.351,0.175,0.349
Çorlu,SPEI12,1997,2,1997,4,3,0.961,0.32,0.508
Çorlu,SPEI12,1997,9,1997,9,1,0.442,0.442,0.442
Çorlu,SPEI12,2000,9,2000,9,1,0.051,0.051,0.051
Çorlu,SPEI12,2000,11,2001,11,13,16.939,1.303,1.939
Çorlu,SPEI12,2002,2,2002,2,1,0.164,0.164,0.164
Çorlu,SPEI12,2003,9,2003,9,1,0.407,0.407,0.407
Çorlu,SPEI12,2003,11,2004,7,9,5.525,0.614,1.213
Çorlu,SPEI12,2004,10,2005,11,14,7.218,0.516,1.049
Çorlu,SPEI12,2006,1,2006,2,2,0.288,0.144,0.244
Çorlu,SPEI12,2006,5,2006,6,2,0.48,0.24,0.35
Çorlu,SPEI12,2006,11,2008,6,20,22.018,1.101,2.998
Çorlu,SPEI12,2008,11,2009,7,9,6.764,0.752,1.616
Çorlu,SPEI12,2012,6,2012,12,7,3.925,0.561,1.118
Çorlu,SPEI12,2013,5,2013,5,1,0.061,0.061,0.061
Çorlu,SPEI12,2013,12,2014,6,7,5.35,0.764,1.407
Çorlu,SPEI12,2015,12,2017,6,19,19.62,1.033,1.898
Çorlu,SPEI12,2019,7,2021,1,19,25.575,1.346,2.536
Çorlu,SPEI12,2021,5,2021,10,6,1.778,0.296,0.525
Çorlu,SPEI12,2022,1,2024,12,36,65.396,1.817,4.753
İpsala,SPI12,1967,12,1968,2,3,0.606,0.202,0.339
İpsala,SPI12,1968,4,1968,8,5,1.367,0.273,0.498
İpsala,SPI12,1968,10,1968,10,1,0.085,0.085,0.085
İpsala,SPI12,1969,1,1969,1,1,0.131,0.131,0.131
İpsala,SPI12,1969,9,1969,9,1,0.033,0.033,0.033
İpsala,SPI12,1971,1,1971,2,2,0.366,0.183,0.211
İpsala,SPI12,1972,1,1972,9,9,4.889,0.543,0.927
İpsala,SPI12,1974,1,1974,10,10,5.714,0.571,0.764
İpsala,SPI12,1977,6,1978,9,16,4.851,0.303,0.774
İpsala,SPI12,1980,11,1980,11,1,0.167,0.167,0.167
İpsala,SPI12,1982,12,1983,8,9,4.514,0.502,1.193
İpsala,SPI12,1984,12,1987,11,36,32.675,0.908,1.73
İpsala,SPI12,1988,12,1989,9,10,2.884,0.288,0.598
İpsala,SPI12,1989,11,1991,7,21,10.495,0.5,1.242
İpsala,SPI12,1991,9,1991,10,2,0.187,0.093,0.17
İpsala,SPI12,1991,12,1994,12,37,30.703,0.83,1.436
İpsala,SPI12,1997,2,1997,3,2,0.315,0.158,0.292
İpsala,SPI12,2000,3,2000,4,2,0.182,0.091,0.15
İpsala,SPI12,2000,12,2000,12,1,0.366,0.366,0.366
İpsala,SPI12,2001,2,2001,3,2,0.498,0.249,0.408
İpsala,SPI12,2001,5,2001,6,2,0.203,0.101,0.15
İpsala,SPI12,2001,10,2001,11,2,1.163,0.582,0.843
İpsala,SPI12,2002,1,2002,2,2,0.298,0.149,0.165
İpsala,SPI12,2002,4,2002,9,6,2.455,0.409,0.545
İpsala,SPI12,2002,12,2002,12,1,0.079,0.079,0.079
İpsala,SPI12,2003,11,2005,1,15,9.661,0.644,1.396
İpsala,SPI12,2005,3,2005,5,3,0.593,0.198,0.372
İpsala,SPI12,2007,1,2009,8,32,22.879,0.715,2.016
İpsala,SPI12,2011,2,2012,4,15,18.2,1.213,2.554
İpsala,SPI12,2015,12,2016,1,2,0.269,0.135,0.148
İpsala,SPI12,2016,3,2021,11,69,82.565,1.197,2.583
İpsala,SPI12,2022,1,2024,12,36,45.274,1.258,3.057
İpsala,SPEI12,1967,12,1968,2,3,0.241,0.08,0.12
İpsala,SPEI12,1968,4,1968,11,8,2.215,0.277,0.717
İpsala,SPEI12,1969,1,1969,1,1,0.131,0.131,0.131
İpsala,SPEI12,1970,4,1970,4,1,0.157,0.157,0.157
İpsala,SPEI12,1970,7,1970,9,3,0.273,0.091,0.125
İpsala,SPEI12,1971,1,1971,2,2,0.436,0.218,0.269
İpsala,SPEI12,1972,2,1972,9,8,3.423,0.428,0.663
İpsala,SPEI12,1974,2,1974,10,9,3.139,0.349,0.541
İpsala,SPEI12,1977,8,1978,3,8,2.575,0.322,0.662
İpsala,SPEI12,1978,5,1978,7,3,0.243,0.081,0.097
İpsala,SPEI12,1983,1,1983,8,8,4.429,0.554,1.264
İpsala,SPEI12,1985,3,1987,10,32,27.374,0.855,1.593
İpsala,SPEI12,1989,1,1989,7,7,2.251,0.322,0.586
İpsala,SPEI12,1989,11,1991,4,18,7.853,0.436,1.161
İpsala,SPEI12,1991,6,1991,7,2,0.221,0.11,0.175
İpsala,SPEI12,1991,9,1991,9,1,0.259,0.259,0.259
İpsala,SPEI12,1991,12,1994,12,37,28.802,0.778,1.505
İpsala,SPEI12,1997,2,1997,3,2,0.435,0.218,0.34
İpsala,SPEI12,2000,3,2000,9,7,1.349,0.193,0.384
İpsala,SPEI12,2000,11,2001,11,13,5.269,0.405,1.125
İpsala,SPEI12,2002,1,2002,2,2,0.905,0.453,0.453
İpsala,SPEI12,2002,4,2002,9,6,3.719,0.62,0.78
İpsala,SPEI12,2002,12,2002,12,1,0.085,0.085,0.085
İpsala,SPEI12,2003,11,2005,1,15,9.448,0.63,1.089
İpsala,SPEI12,2005,3,2005,5,3,0.415,0.138,0.285
İpsala,SPEI12,2007,1,2009,8,32,28.647,0.895,2.657
İpsala,SPEI12,2011,2,2012,4,15,17.461,1.164,1.887
İpsala,SPEI12,2012,10,2012,10,1,0.252,0.252,0.252
İpsala,SPEI12,2015,12,2021,11,72,92.731,1.288,2.327
İpsala,SPEI12,2022,1,2024,12,36,56.355,1.565,4.753
