name,indeks,k,D,MK_z,MK_p,Sen_egim_10yil
Uzunköprü,SPEI,1,2,3.52,0.0004,0.311
Uzunköprü,SPEI,1,3,2.75,0.006,0.345
Uzunköprü,SPEI,1,4,1.23,0.2181,0.0
Uzunköprü,SPEI,1,5,3.06,0.0022,0.0
Uzunköprü,SPEI,1,6,2.91,0.0036,0.0
Uzunköprü,SPEI,3,1,3.51,0.0004,0.161
Uzunköprü,SPEI,3,2,3.18,0.0015,0.314
Uzunköprü,SPEI,3,3,3.03,0.0025,0.449
Uzunköprü,SPEI,3,4,2.92,0.0035,0.508
Uzunköprü,SPEI,3,5,2.56,0.0106,0.114
Uzunköprü,SPEI,3,6,3.01,0.0026,0.0
Uzunköprü,SPEI,3,7,2.48,0.0132,0.0
Uzunköprü,SPEI,3,8,2.09,0.0364,0.0
Uzunköprü,SPEI,3,9,1.99,0.0469,0.0
Uzunköprü,SPEI,3,10,1.6,0.109,0.0
Uzunköprü,SPEI,6,1,3.46,0.0005,0.189
Uzunköprü,SPEI,6,2,3.67,0.0002,0.359
Uzunköprü,SPEI,6,3,3.56,0.0004,0.537
Uzunköprü,SPEI,6,4,3.43,0.0006,0.648
Uzunköprü,SPEI,6,5,3.87,0.0001,0.847
Uzunköprü,SPEI,6,6,3.64,0.0003,0.846
Uzunköprü,SPEI,6,7,2.74,0.0061,0.0
Uzunköprü,SPEI,6,8,2.99,0.0028,0.0
Uzunköprü,SPEI,6,9,2.67,0.0077,0.0
Uzunköprü,SPEI,6,10,2.34,0.0194,0.0
Uzunköprü,SPEI,6,11,2.32,0.0203,0.0
Uzunköprü,SPEI,6,12,2.18,0.0293,0.0
Uzunköprü,SPEI,9,1,3.72,0.0002,0.206
Uzunköprü,SPEI,9,2,3.86,0.0001,0.429
Uzunköprü,SPEI,9,3,3.33,0.0009,0.513
Uzunköprü,SPEI,9,4,3.37,0.0008,0.597
Uzunköprü,SPEI,9,5,2.98,0.0029,0.337
Uzunköprü,SPEI,9,6,3.01,0.0026,0.0
Uzunköprü,SPEI,9,7,3.13,0.0017,0.0
Uzunköprü,SPEI,9,8,2.98,0.0029,0.0
Uzunköprü,SPEI,9,9,2.95,0.0032,0.0
Uzunköprü,SPEI,9,10,2.78,0.0055,0.0
Uzunköprü,SPEI,9,11,3.05,0.0023,0.0
Uzunköprü,SPEI,9,12,3.16,0.0016,0.0
Uzunköprü,SPEI,12,1,3.53,0.0004,0.202
Uzunköprü,SPEI,12,2,3.34,0.0009,0.31
Uzunköprü,SPEI,12,3,3.33,0.0009,0.234
Uzunköprü,SPEI,12,4,3.06,0.0022,0.206
Uzunköprü,SPEI,12,5,3.13,0.0018,0.315
Uzunköprü,SPEI,12,6,3.12,0.0018,0.0
Uzunköprü,SPEI,12,7,3.14,0.0017,0.0
Uzunköprü,SPEI,12,8,3.31,0.0009,0.0
Uzunköprü,SPEI,12,9,3.09,0.002,0.0
Uzunköprü,SPEI,12,10,3.13,0.0017,0.0
Uzunköprü,SPEI,12,11,3.09,0.002,0.0
Uzunköprü,SPEI,12,12,3.1,0.0019,0.0
Uzunköprü,SPI,1,1,2.86,0.0043,0.137
Uzunköprü,SPI,1,2,2.64,0.0083,0.24
Uzunköprü,SPI,1,3,1.99,0.0467,0.0
Uzunköprü,SPI,1,4,1.0,0.3158,0.0
Uzunköprü,SPI,1,5,1.21,0.225,0.0
Uzunköprü,SPI,3,1,2.58,0.01,0.131
Uzunköprü,SPI,3,2,2.17,0.0302,0.258
Uzunköprü,SPI,3,3,2.06,0.0389,0.295
Uzunköprü,SPI,3,4,2.17,0.0303,0.224
Uzunköprü,SPI,3,5,1.62,0.1055,0.0
Uzunköprü,SPI,3,6,2.12,0.034,0.0
Uzunköprü,SPI,3,7,2.23,0.0257,0.0
Uzunköprü,SPI,3,8,1.8,0.0719,0.0
Uzunköprü,SPI,3,9,1.3,0.1948,0.0
Uzunköprü,SPI,3,10,0.62,0.5337,0.0
Uzunköprü,SPI,6,1,2.16,0.0308,0.14
Uzunköprü,SPI,6,2,2.09,0.0365,0.218
Uzunköprü,SPI,6,3,1.89,0.0587,0.247
Uzunköprü,SPI,6,4,2.24,0.0252,0.373
Uzunköprü,SPI,6,5,2.84,0.0045,0.491
Uzunköprü,SPI,6,6,2.41,0.0159,0.218
Uzunköprü,SPI,6,7,2.29,0.0218,0.0
Uzunköprü,SPI,6,8,2.07,0.0382,0.0
Uzunköprü,SPI,6,9,2.25,0.0247,0.0
Uzunköprü,SPI,6,10,1.95,0.0516,0.0
Uzunköprü,SPI,6,11,1.58,0.1147,0.0
Uzunköprü,SPI,6,12,1.09,0.2751,0.0
Uzunköprü,SPI,9,1,2.78,0.0055,0.158
Uzunköprü,SPI,9,2,2.9,0.0037,0.291
Uzunköprü,SPI,9,3,2.66,0.0079,0.379
Uzunköprü,SPI,9,4,2.4,0.0166,0.309
Uzunköprü,SPI,9,5,2.4,0.0164,0.0
Uzunköprü,SPI,9,6,2.31,0.0208,0.0
Uzunköprü,SPI,9,7,2.52,0.0119,0.0
Uzunköprü,SPI,9,8,2.34,0.0194,0.0
Uzunköprü,SPI,9,9,2.23,0.0256,0.0
Uzunköprü,SPI,9,10,2.16,0.0308,0.0
Uzunköprü,SPI,9,11,2.18,0.0291,0.0
Uzunköprü,SPI,9,12,2.07,0.038,0.0
Uzunköprü,SPI,12,1,2.34,0.019,0.127
Uzunköprü,SPI,12,2,1.97,0.0489,0.127
Uzunköprü,SPI,12,3,1.92,0.0552,0.0
Uzunköprü,SPI,12,4,1.7,0.0889,0.0
Uzunköprü,SPI,12,5,1.79,0.0738,0.0
Uzunköprü,SPI,12,6,1.86,0.0635,0.0
Uzunköprü,SPI,12,7,1.79,0.0731,0.0
Uzunköprü,SPI,12,8,1.99,0.0465,0.0
Uzunköprü,SPI,12,9,2.14,0.0328,0.0
Uzunköprü,SPI,12,10,2.16,0.0305,0.0
Uzunköprü,SPI,12,11,2.08,0.0371,0.0
Uzunköprü,SPI,12,12,2.19,0.0284,0.0
Çorlu,SPEI,1,1,2.07,0.0388,0.084
Çorlu,SPEI,1,2,2.49,0.0127,0.228
Çorlu,SPEI,1,3,2.48,0.013,0.302
Çorlu,SPEI,1,4,2.25,0.0243,0.0
Çorlu,SPEI,1,5,2.75,0.0059,0.0
Çorlu,SPEI,3,1,1.56,0.1196,0.083
Çorlu,SPEI,3,2,1.73,0.0842,0.184
Çorlu,SPEI,3,3,1.69,0.092,0.282
Çorlu,SPEI,3,4,2.08,0.0378,0.269
Çorlu,SPEI,3,5,3.35,0.0008,0.081
Çorlu,SPEI,3,6,2.53,0.0113,0.0
Çorlu,SPEI,3,7,2.35,0.0188,0.0
Çorlu,SPEI,3,8,1.6,0.1107,0.0
Çorlu,SPEI,3,9,1.1,0.271,0.0
Çorlu,SPEI,6,1,2.47,0.0137,0.157
Çorlu,SPEI,6,2,3.1,0.0019,0.339
Çorlu,SPEI,6,3,2.4,0.0165,0.348
Çorlu,SPEI,6,4,2.36,0.0183,0.286
Çorlu,SPEI,6,5,2.31,0.021,0.031
Çorlu,SPEI,6,6,2.62,0.0087,0.0
Çorlu,SPEI,6,7,2.34,0.0195,0.0
Çorlu,SPEI,6,8,2.99,0.0028,0.0
Çorlu,SPEI,6,9,2.3,0.0216,0.0
Çorlu,SPEI,6,10,2.53,0.0113,0.0
Çorlu,SPEI,6,11,2.51,0.0119,0.0
Çorlu,SPEI,6,12,2.41,0.0158,0.0
Çorlu,SPEI,9,1,2.06,0.039,0.134
Çorlu,SPEI,9,2,2.21,0.0271,0.265
Çorlu,SPEI,9,3,1.73,0.0833,0.252
Çorlu,SPEI,9,4,2.53,0.0113,0.432
Çorlu,SPEI,9,5,3.06,0.0022,0.362
Çorlu,SPEI,9,6,2.99,0.0027,0.0
Çorlu,SPEI,9,7,3.19,0.0014,0.0
Çorlu,SPEI,9,8,2.58,0.0098,0.0
Çorlu,SPEI,9,9,2.52,0.0117,0.0
Çorlu,SPEI,9,10,2.41,0.0159,0.0
Çorlu,SPEI,9,11,2.32,0.0201,0.0
Çorlu,SPEI,9,12,2.89,0.0039,0.0
Çorlu,SPEI,12,1,2.92,0.0035,0.172
Çorlu,SPEI,12,2,2.7,0.007,0.325
Çorlu,SPEI,12,3,2.86,0.0043,0.385
Çorlu,SPEI,12,4,2.89,0.0038,0.48
Çorlu,SPEI,12,5,2.79,0.0052,0.589
Çorlu,SPEI,12,6,2.79,0.0052,0.637
Çorlu,SPEI,12,7,2.69,0.0071,0.28
Çorlu,SPEI,12,8,2.35,0.0185,0.0
Çorlu,SPEI,12,9,2.3,0.0214,0.0
Çorlu,SPEI,12,10,2.08,0.0378,0.0
Çorlu,SPEI,12,11,2.48,0.0133,0.0
Çorlu,SPEI,12,12,2.5,0.0123,0.0
Çorlu,SPI,1,1,1.73,0.0843,0.078
Çorlu,SPI,1,2,1.18,0.2363,0.112
Çorlu,SPI,1,3,0.46,0.6488,0.0
Çorlu,SPI,1,4,1.03,0.3012,0.0
Çorlu,SPI,3,1,-0.19,0.8496,-0.017
Çorlu,SPI,3,2,0.01,0.9948,0.0
Çorlu,SPI,3,3,0.13,0.9004,0.0
Çorlu,SPI,3,4,0.63,0.5303,0.0
Çorlu,SPI,3,5,0.82,0.4135,0.0
Çorlu,SPI,3,6,0.85,0.3969,0.0
Çorlu,SPI,3,7,0.29,0.7722,0.0
Çorlu,SPI,3,8,0.37,0.7108,0.0
Çorlu,SPI,6,1,0.78,0.4362,0.049
Çorlu,SPI,6,2,0.91,0.3617,0.099
Çorlu,SPI,6,3,0.14,0.89,0.0
Çorlu,SPI,6,4,-0.09,0.9304,0.0
Çorlu,SPI,6,5,0.46,0.6474,0.0
Çorlu,SPI,6,6,0.79,0.4316,0.0
Çorlu,SPI,6,7,1.28,0.2022,0.0
Çorlu,SPI,6,8,2.4,0.0163,0.0
Çorlu,SPI,6,9,1.99,0.0461,0.0
Çorlu,SPI,6,10,2.06,0.0395,0.0
Çorlu,SPI,6,11,2.08,0.038,0.0
Çorlu,SPI,6,12,2.14,0.0327,0.0
Çorlu,SPI,9,1,0.21,0.8339,0.0
Çorlu,SPI,9,2,0.46,0.6452,0.0
Çorlu,SPI,9,3,0.22,0.8222,0.0
Çorlu,SPI,9,4,0.59,0.5556,0.0
Çorlu,SPI,9,5,1.21,0.2275,0.0
Çorlu,SPI,9,6,1.94,0.0523,0.0
Çorlu,SPI,9,7,1.64,0.1017,0.0
Çorlu,SPI,9,8,1.49,0.1352,0.0
Çorlu,SPI,9,9,1.47,0.1426,0.0
Çorlu,SPI,9,10,1.24,0.2159,0.0
Çorlu,SPI,9,11,0.8,0.4214,0.0
Çorlu,SPI,9,12,1.17,0.2409,0.0
Çorlu,SPI,12,1,1.44,0.1492,0.074
Çorlu,SPI,12,2,1.41,0.1572,0.127
Çorlu,SPI,12,3,1.11,0.2662,0.0
Çorlu,SPI,12,4,1.38,0.1665,0.0
Çorlu,SPI,12,5,1.48,0.1394,0.0
Çorlu,SPI,12,6,1.21,0.2253,0.0
Çorlu,SPI,12,7,0.94,0.3459,0.0
Çorlu,SPI,12,8,0.91,0.3603,0.0
Çorlu,SPI,12,9,0.18,0.8605,0.0
Çorlu,SPI,12,10,0.13,0.8976,0.0
Çorlu,SPI,12,11,0.36,0.7183,0.0
Çorlu,SPI,12,12,0.42,0.6757,0.0
İpsala,SPEI,1,1,4.29,0.0,0.134
İpsala,SPEI,1,2,3.83,0.0001,0.301
İpsala,SPEI,1,3,3.14,0.0017,0.363
İpsala,SPEI,1,4,3.45,0.0006,0.0
İpsala,SPEI,1,5,2.92,0.0035,0.0
İpsala,SPEI,1,6,2.42,0.0157,0.0
İpsala,SPEI,3,1,3.77,0.0002,0.183
İpsala,SPEI,3,2,3.28,0.001,0.331
İpsala,SPEI,3,3,3.59,0.0003,0.599
İpsala,SPEI,3,4,3.96,0.0001,0.771
İpsala,SPEI,3,5,4.09,0.0,0.527
İpsala,SPEI,3,6,4.12,0.0,0.0
İpsala,SPEI,3,7,4.22,0.0,0.0
İpsala,SPEI,3,8,3.8,0.0001,0.0
İpsala,SPEI,3,9,2.94,0.0033,0.0
İpsala,SPEI,3,10,2.93,0.0034,0.0
İpsala,SPEI,3,11,2.97,0.003,0.0
İpsala,SPEI,6,1,3.49,0.0005,0.224
İpsala,SPEI,6,2,3.6,0.0003,0.516
İpsala,SPEI,6,3,3.71,0.0002,0.768
İpsala,SPEI,6,4,3.53,0.0004,0.895
İpsala,SPEI,6,5,4.1,0.0,1.091
İpsala,SPEI,6,6,3.86,0.0001,0.791
İpsala,SPEI,6,7,4.2,0.0,0.138
İpsala,SPEI,6,8,3.79,0.0002,0.0
İpsala,SPEI,6,9,3.65,0.0003,0.0
İpsala,SPEI,6,10,3.8,0.0001,0.0
İpsala,SPEI,6,11,3.89,0.0001,0.0
İpsala,SPEI,6,12,3.36,0.0008,0.0
İpsala,SPEI,9,1,3.54,0.0004,0.21
İpsala,SPEI,9,2,3.52,0.0004,0.43
İpsala,SPEI,9,3,3.53,0.0004,0.591
İpsala,SPEI,9,4,4.07,0.0,0.764
İpsala,SPEI,9,5,4.2,0.0,0.811
İpsala,SPEI,9,6,4.1,0.0,0.952
İpsala,SPEI,9,7,4.0,0.0001,1.038
İpsala,SPEI,9,8,3.95,0.0001,1.051
İpsala,SPEI,9,9,4.23,0.0,1.092
İpsala,SPEI,9,10,4.55,0.0,0.851
İpsala,SPEI,9,11,4.35,0.0,0.0
İpsala,SPEI,9,12,4.44,0.0,0.0
İpsala,SPEI,12,1,4.1,0.0,0.277
İpsala,SPEI,12,2,4.07,0.0,0.523
İpsala,SPEI,12,3,4.26,0.0,0.726
İpsala,SPEI,12,4,4.41,0.0,0.959
İpsala,SPEI,12,5,4.39,0.0,1.123
İpsala,SPEI,12,6,4.46,0.0,1.264
İpsala,SPEI,12,7,4.25,0.0,1.345
İpsala,SPEI,12,8,4.2,0.0,1.409
İpsala,SPEI,12,9,4.78,0.0,1.535
İpsala,SPEI,12,10,4.98,0.0,1.732
İpsala,SPEI,12,11,5.21,0.0,1.852
İpsala,SPEI,12,12,4.96,0.0,1.22
İpsala,SPI,1,1,4.39,0.0,0.155
İpsala,SPI,1,2,3.04,0.0024,0.29
İpsala,SPI,1,3,1.94,0.053,0.0
İpsala,SPI,1,4,2.26,0.0239,0.0
İpsala,SPI,3,1,2.21,0.0271,0.131
İpsala,SPI,3,2,2.11,0.0345,0.263
İpsala,SPI,3,3,2.43,0.0149,0.433
İpsala,SPI,3,4,3.0,0.0027,0.409
İpsala,SPI,3,5,2.83,0.0046,0.0
İpsala,SPI,3,6,2.24,0.0253,0.0
İpsala,SPI,3,7,1.8,0.0718,0.0
İpsala,SPI,3,8,1.87,0.0608,0.0
İpsala,SPI,6,1,2.29,0.022,0.148
İpsala,SPI,6,2,2.46,0.0139,0.329
İpsala,SPI,6,3,2.45,0.0145,0.479
İpsala,SPI,6,4,2.77,0.0057,0.47
İpsala,SPI,6,5,3.17,0.0015,0.28
İpsala,SPI,6,6,3.15,0.0017,0.0
İpsala,SPI,6,7,2.98,0.0029,0.0
İpsala,SPI,6,8,2.96,0.003,0.0
İpsala,SPI,6,9,2.12,0.0337,0.0
İpsala,SPI,6,10,2.14,0.0321,0.0
İpsala,SPI,6,11,2.08,0.0375,0.0
İpsala,SPI,6,12,1.63,0.1039,0.0
İpsala,SPI,9,1,2.77,0.0056,0.157
İpsala,SPI,9,2,2.8,0.005,0.325
İpsala,SPI,9,3,2.86,0.0043,0.361
İpsala,SPI,9,4,3.33,0.0009,0.433
İpsala,SPI,9,5,3.6,0.0003,0.532
İpsala,SPI,9,6,3.61,0.0003,0.573
İpsala,SPI,9,7,3.63,0.0003,0.686
İpsala,SPI,9,8,3.44,0.0006,0.228
İpsala,SPI,9,9,3.52,0.0004,0.255
İpsala,SPI,9,10,4.27,0.0,0.0
İpsala,SPI,9,11,3.75,0.0002,0.0
İpsala,SPI,9,12,3.22,0.0013,0.0
İpsala,SPI,12,1,3.77,0.0002,0.226
İpsala,SPI,12,2,3.91,0.0001,0.387
İpsala,SPI,12,3,3.68,0.0002,0.456
İpsala,SPI,12,4,3.68,0.0002,0.567
İpsala,SPI,12,5,3.64,0.0003,0.722
İpsala,SPI,12,6,3.83,0.0001,0.819
İpsala,SPI,12,7,3.73,0.0002,0.87
İpsala,SPI,12,8,3.79,0.0002,0.948
İpsala,SPI,12,9,3.8,0.0001,1.068
İpsala,SPI,12,10,4.07,0.0,1.151
İpsala,SPI,12,11,4.1,0.0,0.0
İpsala,SPI,12,12,3.91,0.0001,0.0
