model,exp,name,year,month,pr_mm,tas_c
ACCESS-CM2,historical,Edirne,1965,1,20.505,-1.318
ACCESS-CM2,historical,Edirne,1965,2,12.428,1.892
ACCESS-CM2,historical,Edirne,1965,3,57.376,6.977
ACCESS-CM2,historical,Edirne,1965,4,138.819,10.915
ACCESS-CM2,historical,Edirne,1965,5,43.19,15.853
ACCESS-CM2,historical,Edirne,1965,6,80.345,19.678
ACCESS-CM2,historical,Edirne,1965,7,97.924,19.85
ACCESS-CM2,historical,Edirne,1965,8,29.919,22.539
ACCESS-CM2,historical,Edirne,1965,9,8.05,16.996
ACCESS-CM2,historical,Edirne,1965,10,29.987,13.732
ACCESS-CM2,historical,Edirne,1965,11,82.296,2.401
ACCESS-CM2,historical,Edirne,1965,12,71.631,-0.695
ACCESS-CM2,historical,Edirne,1966,1,27.075,-6.482
ACCESS-CM2,historical,Edirne,1966,2,66.884,1.587
ACCESS-CM2,historical,Edirne,1966,3,119.894,4.684
ACCESS-CM2,historical,Edirne,1966,4,103.327,9.462
ACCESS-CM2,historical,Edirne,1966,5,32.938,17.433
ACCESS-CM2,historical,Edirne,1966,6,48.795,20.335
ACCESS-CM2,historical,Edirne,1966,7,13.543,23.887
ACCESS-CM2,historical,Edirne,1966,8,18.878,23.617
ACCESS-CM2,historical,Edirne,1966,9,10.19,13.051
ACCESS-CM2,historical,Edirne,1966,10,2.543,10.383
ACCESS-CM2,historical,Edirne,1966,11,40.411,3.656
ACCESS-CM2,historical,Edirne,1966,12,152.215,-2.785
ACCESS-CM2,historical,Edirne,1967,1,24.417,-5.007
ACCESS-CM2,historical,Edirne,1967,2,14.709,2.905
ACCESS-CM2,historical,Edirne,1967,3,102.33,6.506
ACCESS-CM2,historical,Edirne,1967,4,58.709,8.443
ACCESS-CM2,historical,Edirne,1967,5,79.621,15.54
ACCESS-CM2,historical,Edirne,1967,6,81.867,22.949
ACCESS-CM2,historical,Edirne,1967,7,38.514,25.347
ACCESS-CM2,historical,Edirne,1967,8,11.961,23.349
ACCESS-CM2,historical,Edirne,1967,9,5.49,18.783
ACCESS-CM2,historical,Edirne,1967,10,29.276,9.266
ACCESS-CM2,historical,Edirne,1967,11,90.207,0.604
ACCESS-CM2,historical,Edirne,1967,12,117.567,-3.423
ACCESS-CM2,historical,Edirne,1968,1,104.258,-4.841
ACCESS-CM2,historical,Edirne,1968,2,38.885,-0.131
ACCESS-CM2,historical,Edirne,1968,3,37.583,3.451
ACCESS-CM2,historical,Edirne,1968,4,79.809,10.765
ACCESS-CM2,historical,Edirne,1968,5,44.199,16.14
ACCESS-CM2,historical,Edirne,1968,6,37.785,21.978
ACCESS-CM2,historical,Edirne,1968,7,35.781,24.033
ACCESS-CM2,historical,Edirne,1968,8,9.295,22.91
ACCESS-CM2,historical,Edirne,1968,9,49.705,17.531
ACCESS-CM2,historical,Edirne,1968,10,7.1,9.095
ACCESS-CM2,historical,Edirne,1968,11,93.911,2.913
ACCESS-CM2,historical,Edirne,1968,12,60.337,-0.175
ACCESS-CM2,historical,Edirne,1969,1,33.056,-5.541
ACCESS-CM2,historical,Edirne,1969,2,61.387,-4.48
ACCESS-CM2,historical,Edirne,1969,3,100.179,2.365
ACCESS-CM2,historical,Edirne,1969,4,36.467,10.558
ACCESS-CM2,historical,Edirne,1969,5,51.554,16.037
ACCESS-CM2,historical,Edirne,1969,6,116.704,21.357
ACCESS-CM2,historical,Edirne,1969,7,34.328,23.157
ACCESS-CM2,historical,Edirne,1969,8,34.994,20.987
ACCESS-CM2,historical,Edirne,1969,9,16.311,16.95
ACCESS-CM2,historical,Edirne,1969,10,6.657,13.678
ACCESS-CM2,historical,Edirne,1969,11,110.494,2.327
ACCESS-CM2,historical,Edirne,1969,12,50.345,2.111
ACCESS-CM2,historical,Edirne,1970,1,69.201,-7.13
ACCESS-CM2,historical,Edirne,1970,2,22.949,-2.242
ACCESS-CM2,historical,Edirne,1970,3,94.271,2.914
ACCESS-CM2,historical,Edirne,1970,4,64.505,11.142
ACCESS-CM2,historical,Edirne,1970,5,45.145,17.426
ACCESS-CM2,historical,Edirne,1970,6,70.145,20.975
ACCESS-CM2,historical,Edirne,1970,7,8.904,26.226
ACCESS-CM2,historical,Edirne,1970,8,17.05,21.202
ACCESS-CM2,historical,Edirne,1970,9,19.201,19.707
ACCESS-CM2,historical,Edirne,1970,10,21.355,8.656
ACCESS-CM2,historical,Edirne,1970,11,73.472,2.039
ACCESS-CM2,historical,Edirne,1970,12,93.031,-2.957
ACCESS-CM2,historical,Edirne,1971,1,36.67,-0.904
ACCESS-CM2,historical,Edirne,1971,2,72.839,3.587
ACCESS-CM2,historical,Edirne,1971,3,115.457,5.221
ACCESS-CM2,historical,Edirne,1971,4,24.412,9.323
ACCESS-CM2,historical,Edirne,1971,5,34.065,18.405
ACCESS-CM2,historical,Edirne,1971,6,62.749,22.665
ACCESS-CM2,historical,Edirne,1971,7,27.005,26.182
ACCESS-CM2,historical,Edirne,1971,8,52.034,20.505
ACCESS-CM2,historical,Edirne,1971,9,33.135,19.612
ACCESS-CM2,historical,Edirne,1971,10,4.969,14.672
ACCESS-CM2,historical,Edirne,1971,11,22.792,8.032
ACCESS-CM2,historical,Edirne,1971,12,62.182,1.612
ACCESS-CM2,historical,Edirne,1972,1,28.485,0.459
ACCESS-CM2,historical,Edirne,1972,2,48.209,0.388
ACCESS-CM2,historical,Edirne,1972,3,43.626,4.1
ACCESS-CM2,historical,Edirne,1972,4,31.023,9.905
ACCESS-CM2,historical,Edirne,1972,5,27.423,18.427
ACCESS-CM2,historical,Edirne,1972,6,101.897,21.396
ACCESS-CM2,historical,Edirne,1972,7,143.845,22.902
ACCESS-CM2,historical,Edirne,1972,8,56.699,21.244
ACCESS-CM2,historical,Edirne,1972,9,11.56,16.097
ACCESS-CM2,historical,Edirne,1972,10,72.589,8.615
ACCESS-CM2,historical,Edirne,1972,11,72.524,5.702
ACCESS-CM2,historical,Edirne,1972,12,28.494,2.589
ACCESS-CM2,historical,Edirne,1973,1,21.364,2.735
ACCESS-CM2,historical,Edirne,1973,2,44.899,4.194
ACCESS-CM2,historical,Edirne,1973,3,87.024,5.356
ACCESS-CM2,historical,Edirne,1973,4,154.856,8.88
ACCESS-CM2,historical,Edirne,1973,5,110.134,14.139
ACCESS-CM2,historical,Edirne,1973,6,18.836,21.005
ACCESS-CM2,historical,Edirne,1973,7,38.387,24.934
ACCESS-CM2,historical,Edirne,1973,8,5.794,21.493
ACCESS-CM2,historical,Edirne,1973,9,2.334,23.379
ACCESS-CM2,historical,Edirne,1973,10,93.891,11.352
ACCESS-CM2,historical,Edirne,1973,11,79.541,3.588
ACCESS-CM2,historical,Edirne,1973,12,56.622,-4.552
ACCESS-CM2,historical,Edirne,1974,1,82.302,0.936
ACCESS-CM2,historical,Edirne,1974,2,28.986,-0.265
ACCESS-CM2,historical,Edirne,1974,3,33.249,0.866
ACCESS-CM2,historical,Edirne,1974,4,19.043,9.007
ACCESS-CM2,historical,Edirne,1974,5,86.169,17.709
ACCESS-CM2,historical,Edirne,1974,6,23.923,20.993
ACCESS-CM2,historical,Edirne,1974,7,30.005,25.667
ACCESS-CM2,historical,Edirne,1974,8,19.626,21.288
ACCESS-CM2,historical,Edirne,1974,9,3.586,17.609
ACCESS-CM2,historical,Edirne,1974,10,3.25,12.727
ACCESS-CM2,historical,Edirne,1974,11,102.776,1.131
ACCESS-CM2,historical,Edirne,1974,12,79.828,-5.65
ACCESS-CM2,historical,Edirne,1975,1,20.593,-3.911
ACCESS-CM2,historical,Edirne,1975,2,23.78,-4.127
ACCESS-CM2,historical,Edirne,1975,3,42.434,0.324
ACCESS-CM2,historical,Edirne,1975,4,79.652,9.129
ACCESS-CM2,historical,Edirne,1975,5,91.076,17.276
ACCESS-CM2,historical,Edirne,1975,6,57.67,22.446
ACCESS-CM2,historical,Edirne,1975,7,29.721,23.319
ACCESS-CM2,historical,Edirne,1975,8,3.04,21.94
ACCESS-CM2,historical,Edirne,1975,9,0.75,20.667
ACCESS-CM2,historical,Edirne,1975,10,34.019,12.101
ACCESS-CM2,historical,Edirne,1975,11,19.117,3.539
ACCESS-CM2,historical,Edirne,1975,12,108.238,-0.126
ACCESS-CM2,historical,Edirne,1976,1,19.994,-0.406
ACCESS-CM2,historical,Edirne,1976,2,86.901,-4.139
ACCESS-CM2,historical,Edirne,1976,3,21.475,3.397
ACCESS-CM2,historical,Edirne,1976,4,29.104,9.574
ACCESS-CM2,historical,Edirne,1976,5,51.4,15.049
ACCESS-CM2,historical,Edirne,1976,6,124.999,22.245
ACCESS-CM2,historical,Edirne,1976,7,68.864,22.995
ACCESS-CM2,historical,Edirne,1976,8,11.013,21.95
ACCESS-CM2,historical,Edirne,1976,9,41.421,15.028
ACCESS-CM2,historical,Edirne,1976,10,10.265,12.081
ACCESS-CM2,historical,Edirne,1976,11,99.882,4.529
ACCESS-CM2,historical,Edirne,1976,12,76.035,3.801
ACCESS-CM2,historical,Edirne,1977,1,84.179,0.442
ACCESS-CM2,historical,Edirne,1977,2,43.198,1.826
ACCESS-CM2,historical,Edirne,1977,3,224.098,2.959
ACCESS-CM2,historical,Edirne,1977,4,27.005,10.969
ACCESS-CM2,historical,Edirne,1977,5,28.409,16.108
ACCESS-CM2,historical,Edirne,1977,6,115.328,20.006
ACCESS-CM2,historical,Edirne,1977,7,38.279,24.335
ACCESS-CM2,historical,Edirne,1977,8,11.274,23.23
ACCESS-CM2,historical,Edirne,1977,9,7.793,18.05
ACCESS-CM2,historical,Edirne,1977,10,142.323,7.132
ACCESS-CM2,historical,Edirne,1977,11,45.384,6.99
ACCESS-CM2,historical,Edirne,1977,12,109.216,0.775
ACCESS-CM2,historical,Edirne,1978,1,41.159,-0.973
ACCESS-CM2,historical,Edirne,1978,2,48.548,3.263
ACCESS-CM2,historical,Edirne,1978,3,62.483,3.881
ACCESS-CM2,historical,Edirne,1978,4,72.32,8.839
ACCESS-CM2,historical,Edirne,1978,5,42.578,16.58
ACCESS-CM2,historical,Edirne,1978,6,6.525,25.559
ACCESS-CM2,historical,Edirne,1978,7,23.459,25.803
ACCESS-CM2,historical,Edirne,1978,8,46.625,22.019
ACCESS-CM2,historical,Edirne,1978,9,18.598,14.424
ACCESS-CM2,historical,Edirne,1978,10,11.038,11.308
ACCESS-CM2,historical,Edirne,1978,11,130.959,4.548
ACCESS-CM2,historical,Edirne,1978,12,55.09,2.467
ACCESS-CM2,historical,Edirne,1979,1,25.917,-1.995
ACCESS-CM2,historical,Edirne,1979,2,63.029,1.493
ACCESS-CM2,historical,Edirne,1979,3,68.323,4.737
ACCESS-CM2,historical,Edirne,1979,4,62.806,10.778
ACCESS-CM2,historical,Edirne,1979,5,126.39,16.413
ACCESS-CM2,historical,Edirne,1979,6,35.847,22.691
ACCESS-CM2,historical,Edirne,1979,7,17.694,24.444
ACCESS-CM2,historical,Edirne,1979,8,20.76,19.3
ACCESS-CM2,historical,Edirne,1979,9,16.533,17.093
ACCESS-CM2,historical,Edirne,1979,10,10.034,9.957
ACCESS-CM2,historical,Edirne,1979,11,128.83,4.39
ACCESS-CM2,historical,Edirne,1979,12,192.903,-0.696
ACCESS-CM2,historical,Edirne,1980,1,56.099,-5.137
ACCESS-CM2,historical,Edirne,1980,2,58.865,1.08
ACCESS-CM2,historical,Edirne,1980,3,66.203,5.705
ACCESS-CM2,historical,Edirne,1980,4,38.12,12.184
ACCESS-CM2,historical,Edirne,1980,5,185.736,16.386
ACCESS-CM2,historical,Edirne,1980,6,107.286,17.642
ACCESS-CM2,historical,Edirne,1980,7,128.014,22.127
ACCESS-CM2,historical,Edirne,1980,8,2.002,22.396
ACCESS-CM2,historical,Edirne,1980,9,5.843,17.572
ACCESS-CM2,historical,Edirne,1980,10,44.33,13.842
ACCESS-CM2,historical,Edirne,1980,11,39.393,3.581
ACCESS-CM2,historical,Edirne,1980,12,77.679,-4.206
ACCESS-CM2,historical,Edirne,1981,1,88.222,-5.239
ACCESS-CM2,historical,Edirne,1981,2,51.176,-5.304
ACCESS-CM2,historical,Edirne,1981,3,40.822,0.213
ACCESS-CM2,historical,Edirne,1981,4,29.499,10.0
ACCESS-CM2,historical,Edirne,1981,5,87.79,14.825
ACCESS-CM2,historical,Edirne,1981,6,29.561,22.298
ACCESS-CM2,historical,Edirne,1981,7,15.796,25.86
ACCESS-CM2,historical,Edirne,1981,8,16.541,23.877
ACCESS-CM2,historical,Edirne,1981,9,0.209,17.891
ACCESS-CM2,historical,Edirne,1981,10,121.892,11.296
ACCESS-CM2,historical,Edirne,1981,11,59.412,9.016
ACCESS-CM2,historical,Edirne,1981,12,37.466,4.859
ACCESS-CM2,historical,Edirne,1982,1,34.517,0.334
ACCESS-CM2,historical,Edirne,1982,2,58.757,0.5
ACCESS-CM2,historical,Edirne,1982,3,104.349,1.828
ACCESS-CM2,historical,Edirne,1982,4,45.626,13.136
ACCESS-CM2,historical,Edirne,1982,5,57.457,14.525
ACCESS-CM2,historical,Edirne,1982,6,39.908,20.401
ACCESS-CM2,historical,Edirne,1982,7,7.378,26.555
ACCESS-CM2,historical,Edirne,1982,8,20.307,21.543
ACCESS-CM2,historical,Edirne,1982,9,56.875,14.295
ACCESS-CM2,historical,Edirne,1982,10,134.469,9.982
ACCESS-CM2,historical,Edirne,1982,11,35.444,2.761
ACCESS-CM2,historical,Edirne,1982,12,59.689,-6.973
ACCESS-CM2,historical,Edirne,1983,1,52.499,-1.724
ACCESS-CM2,historical,Edirne,1983,2,34.95,-1.753
ACCESS-CM2,historical,Edirne,1983,3,37.251,5.269
ACCESS-CM2,historical,Edirne,1983,4,99.005,7.572
ACCESS-CM2,historical,Edirne,1983,5,148.704,17.091
ACCESS-CM2,historical,Edirne,1983,6,34.252,21.697
ACCESS-CM2,historical,Edirne,1983,7,28.406,24.861
ACCESS-CM2,historical,Edirne,1983,8,10.495,21.881
ACCESS-CM2,historical,Edirne,1983,9,41.642,20.601
ACCESS-CM2,historical,Edirne,1983,10,154.317,11.793
ACCESS-CM2,historical,Edirne,1983,11,79.14,7.107
ACCESS-CM2,historical,Edirne,1983,12,93.642,-0.298
ACCESS-CM2,historical,Edirne,1984,1,16.817,0.299
ACCESS-CM2,historical,Edirne,1984,2,41.164,1.467
ACCESS-CM2,historical,Edirne,1984,3,151.091,3.663
ACCESS-CM2,historical,Edirne,1984,4,82.774,9.309
ACCESS-CM2,historical,Edirne,1984,5,46.45,14.933
ACCESS-CM2,historical,Edirne,1984,6,121.544,21.51
ACCESS-CM2,historical,Edirne,1984,7,5.53,25.683
ACCESS-CM2,historical,Edirne,1984,8,6.284,19.289
ACCESS-CM2,historical,Edirne,1984,9,37.923,14.325
ACCESS-CM2,historical,Edirne,1984,10,60.991,10.544
ACCESS-CM2,historical,Edirne,1984,11,43.669,6.579
ACCESS-CM2,historical,Edirne,1984,12,21.472,6.225
ACCESS-CM2,historical,Edirne,1985,1,76.603,-0.38
ACCESS-CM2,historical,Edirne,1985,2,71.046,1.257
ACCESS-CM2,historical,Edirne,1985,3,62.632,0.108
ACCESS-CM2,historical,Edirne,1985,4,60.172,7.765
ACCESS-CM2,historical,Edirne,1985,5,62.9,14.628
ACCESS-CM2,historical,Edirne,1985,6,140.767,21.635
ACCESS-CM2,historical,Edirne,1985,7,16.997,26.37
ACCESS-CM2,historical,Edirne,1985,8,4.952,23.525
ACCESS-CM2,historical,Edirne,1985,9,14.007,18.372
ACCESS-CM2,historical,Edirne,1985,10,60.291,13.905
ACCESS-CM2,historical,Edirne,1985,11,131.93,5.759
ACCESS-CM2,historical,Edirne,1985,12,30.332,6.429
ACCESS-CM2,historical,Edirne,1986,1,242.273,2.404
ACCESS-CM2,historical,Edirne,1986,2,29.947,1.092
ACCESS-CM2,historical,Edirne,1986,3,74.512,3.805
ACCESS-CM2,historical,Edirne,1986,4,40.678,11.69
ACCESS-CM2,historical,Edirne,1986,5,75.449,16.395
ACCESS-CM2,historical,Edirne,1986,6,45.126,21.21
ACCESS-CM2,historical,Edirne,1986,7,21.347,24.293
ACCESS-CM2,historical,Edirne,1986,8,2.958,22.053
ACCESS-CM2,historical,Edirne,1986,9,6.083,19.358
ACCESS-CM2,historical,Edirne,1986,10,0.479,15.114
ACCESS-CM2,historical,Edirne,1986,11,65.532,8.617
ACCESS-CM2,historical,Edirne,1986,12,113.757,-1.03
ACCESS-CM2,historical,Edirne,1987,1,11.386,1.722
ACCESS-CM2,historical,Edirne,1987,2,82.805,2.588
ACCESS-CM2,historical,Edirne,1987,3,30.04,8.809
ACCESS-CM2,historical,Edirne,1987,4,67.362,12.399
ACCESS-CM2,historical,Edirne,1987,5,123.634,12.429
ACCESS-CM2,historical,Edirne,1987,6,24.385,20.435
ACCESS-CM2,historical,Edirne,1987,7,33.586,22.587
ACCESS-CM2,historical,Edirne,1987,8,51.457,22.411
ACCESS-CM2,historical,Edirne,1987,9,22.996,17.515
ACCESS-CM2,historical,Edirne,1987,10,94.252,9.124
ACCESS-CM2,historical,Edirne,1987,11,53.111,1.01
ACCESS-CM2,historical,Edirne,1987,12,63.064,-4.596
ACCESS-CM2,historical,Edirne,1988,1,108.823,-9.003
ACCESS-CM2,historical,Edirne,1988,2,70.904,2.768
ACCESS-CM2,historical,Edirne,1988,3,82.686,7.509
ACCESS-CM2,historical,Edirne,1988,4,77.184,8.656
ACCESS-CM2,historical,Edirne,1988,5,97.254,17.55
ACCESS-CM2,historical,Edirne,1988,6,24.686,21.729
ACCESS-CM2,historical,Edirne,1988,7,10.594,25.648
ACCESS-CM2,historical,Edirne,1988,8,4.633,22.17
ACCESS-CM2,historical,Edirne,1988,9,29.035,18.091
ACCESS-CM2,historical,Edirne,1988,10,34.549,11.329
ACCESS-CM2,historical,Edirne,1988,11,60.652,3.997
ACCESS-CM2,historical,Edirne,1988,12,145.305,-0.179
ACCESS-CM2,historical,Edirne,1989,1,22.943,-0.306
ACCESS-CM2,historical,Edirne,1989,2,90.735,2.428
ACCESS-CM2,historical,Edirne,1989,3,152.323,5.509
ACCESS-CM2,historical,Edirne,1989,4,173.807,6.693
ACCESS-CM2,historical,Edirne,1989,5,144.801,13.899
ACCESS-CM2,historical,Edirne,1989,6,37.792,18.4
ACCESS-CM2,historical,Edirne,1989,7,22.136,22.601
ACCESS-CM2,historical,Edirne,1989,8,22.054,20.961
ACCESS-CM2,historical,Edirne,1989,9,5.194,18.478
ACCESS-CM2,historical,Edirne,1989,10,3.228,14.029
ACCESS-CM2,historical,Edirne,1989,11,56.062,2.491
ACCESS-CM2,historical,Edirne,1989,12,94.262,2.368
ACCESS-CM2,historical,Edirne,1990,1,63.529,-1.287
ACCESS-CM2,historical,Edirne,1990,2,44.056,4.033
ACCESS-CM2,historical,Edirne,1990,3,25.164,6.691
ACCESS-CM2,historical,Edirne,1990,4,19.103,13.49
ACCESS-CM2,historical,Edirne,1990,5,74.494,16.617
ACCESS-CM2,historical,Edirne,1990,6,45.695,23.713
ACCESS-CM2,historical,Edirne,1990,7,52.357,26.627
ACCESS-CM2,historical,Edirne,1990,8,14.491,24.787
ACCESS-CM2,historical,Edirne,1990,9,25.838,19.865
ACCESS-CM2,historical,Edirne,1990,10,16.65,11.577
ACCESS-CM2,historical,Edirne,1990,11,106.194,7.406
ACCESS-CM2,historical,Edirne,1990,12,45.154,-1.681
ACCESS-CM2,historical,Edirne,1991,1,43.282,5.194
ACCESS-CM2,historical,Edirne,1991,2,31.871,3.591
ACCESS-CM2,historical,Edirne,1991,3,54.265,4.98
ACCESS-CM2,historical,Edirne,1991,4,53.372,8.734
ACCESS-CM2,historical,Edirne,1991,5,60.844,15.715
ACCESS-CM2,historical,Edirne,1991,6,66.366,20.131
ACCESS-CM2,historical,Edirne,1991,7,64.076,25.956
ACCESS-CM2,historical,Edirne,1991,8,37.938,21.742
ACCESS-CM2,historical,Edirne,1991,9,5.112,14.535
ACCESS-CM2,historical,Edirne,1991,10,16.791,11.425
ACCESS-CM2,historical,Edirne,1991,11,100.112,7.475
ACCESS-CM2,historical,Edirne,1991,12,66.436,-2.423
ACCESS-CM2,historical,Edirne,1992,1,190.545,3.074
ACCESS-CM2,historical,Edirne,1992,2,66.421,0.937
ACCESS-CM2,historical,Edirne,1992,3,69.8,3.298
ACCESS-CM2,historical,Edirne,1992,4,30.426,9.778
ACCESS-CM2,historical,Edirne,1992,5,88.96,18.056
ACCESS-CM2,historical,Edirne,1992,6,16.296,22.6
ACCESS-CM2,historical,Edirne,1992,7,33.012,26.473
ACCESS-CM2,historical,Edirne,1992,8,36.213,20.922
ACCESS-CM2,historical,Edirne,1992,9,24.217,17.433
ACCESS-CM2,historical,Edirne,1992,10,70.591,9.304
ACCESS-CM2,historical,Edirne,1992,11,19.01,2.837
ACCESS-CM2,historical,Edirne,1992,12,66.946,1.121
ACCESS-CM2,historical,Edirne,1993,1,37.15,-1.336
ACCESS-CM2,historical,Edirne,1993,2,54.614,0.92
ACCESS-CM2,historical,Edirne,1993,3,78.815,5.116
ACCESS-CM2,historical,Edirne,1993,4,69.907,8.456
ACCESS-CM2,historical,Edirne,1993,5,112.35,13.11
ACCESS-CM2,historical,Edirne,1993,6,120.875,18.69
ACCESS-CM2,historical,Edirne,1993,7,45.968,25.553
ACCESS-CM2,historical,Edirne,1993,8,29.916,22.241
ACCESS-CM2,historical,Edirne,1993,9,35.123,18.389
ACCESS-CM2,historical,Edirne,1993,10,87.829,8.134
ACCESS-CM2,historical,Edirne,1993,11,64.796,3.418
ACCESS-CM2,historical,Edirne,1993,12,278.869,4.932
ACCESS-CM2,historical,Edirne,1994,1,63.61,0.283
ACCESS-CM2,historical,Edirne,1994,2,142.006,6.798
ACCESS-CM2,historical,Edirne,1994,3,43.9,6.838
ACCESS-CM2,historical,Edirne,1994,4,93.559,7.767
ACCESS-CM2,historical,Edirne,1994,5,53.479,13.806
ACCESS-CM2,historical,Edirne,1994,6,122.911,19.86
ACCESS-CM2,historical,Edirne,1994,7,44.066,22.228
ACCESS-CM2,historical,Edirne,1994,8,17.064,22.664
ACCESS-CM2,historical,Edirne,1994,9,11.378,16.48
ACCESS-CM2,historical,Edirne,1994,10,8.041,10.46
ACCESS-CM2,historical,Edirne,1994,11,52.925,7.823
ACCESS-CM2,historical,Edirne,1994,12,49.974,0.92
ACCESS-CM2,historical,Edirne,1995,1,65.893,4.126
ACCESS-CM2,historical,Edirne,1995,2,39.45,0.204
ACCESS-CM2,historical,Edirne,1995,3,134.757,0.508
ACCESS-CM2,historical,Edirne,1995,4,39.369,10.479
ACCESS-CM2,historical,Edirne,1995,5,150.471,14.739
ACCESS-CM2,historical,Edirne,1995,6,128.192,20.078
ACCESS-CM2,historical,Edirne,1995,7,22.707,24.249
ACCESS-CM2,historical,Edirne,1995,8,23.205,23.036
ACCESS-CM2,historical,Edirne,1995,9,47.253,15.307
ACCESS-CM2,historical,Edirne,1995,10,57.388,13.087
ACCESS-CM2,historical,Edirne,1995,11,88.335,7.244
ACCESS-CM2,historical,Edirne,1995,12,61.96,2.748
ACCESS-CM2,historical,Edirne,1996,1,46.98,1.675
ACCESS-CM2,historical,Edirne,1996,2,57.634,2.839
ACCESS-CM2,historical,Edirne,1996,3,96.007,3.989
ACCESS-CM2,historical,Edirne,1996,4,98.052,7.581
ACCESS-CM2,historical,Edirne,1996,5,90.719,17.625
ACCESS-CM2,historical,Edirne,1996,6,37.526,23.157
ACCESS-CM2,historical,Edirne,1996,7,3.952,26.057
ACCESS-CM2,historical,Edirne,1996,8,10.438,22.806
ACCESS-CM2,historical,Edirne,1996,9,0.994,17.811
ACCESS-CM2,historical,Edirne,1996,10,108.797,12.433
ACCESS-CM2,historical,Edirne,1996,11,59.554,5.783
ACCESS-CM2,historical,Edirne,1996,12,37.303,-1.741
ACCESS-CM2,historical,Edirne,1997,1,124.022,0.417
ACCESS-CM2,historical,Edirne,1997,2,16.678,3.379
ACCESS-CM2,historical,Edirne,1997,3,12.809,8.058
ACCESS-CM2,historical,Edirne,1997,4,78.109,13.601
ACCESS-CM2,historical,Edirne,1997,5,77.243,15.659
ACCESS-CM2,historical,Edirne,1997,6,40.119,22.948
ACCESS-CM2,historical,Edirne,1997,7,2.187,26.441
ACCESS-CM2,historical,Edirne,1997,8,10.403,25.291
ACCESS-CM2,historical,Edirne,1997,9,1.955,18.877
ACCESS-CM2,historical,Edirne,1997,10,81.263,12.637
ACCESS-CM2,historical,Edirne,1997,11,67.272,8.027
ACCESS-CM2,historical,Edirne,1997,12,76.754,-1.612
ACCESS-CM2,historical,Edirne,1998,1,76.017,4.892
ACCESS-CM2,historical,Edirne,1998,2,85.752,3.107
ACCESS-CM2,historical,Edirne,1998,3,78.631,7.533
ACCESS-CM2,historical,Edirne,1998,4,35.859,14.537
ACCESS-CM2,historical,Edirne,1998,5,55.4,18.417
ACCESS-CM2,historical,Edirne,1998,6,74.186,23.088
ACCESS-CM2,historical,Edirne,1998,7,2.72,26.489
ACCESS-CM2,historical,Edirne,1998,8,32.088,23.151
ACCESS-CM2,historical,Edirne,1998,9,24.81,19.503
ACCESS-CM2,historical,Edirne,1998,10,129.734,11.694
ACCESS-CM2,historical,Edirne,1998,11,78.47,8.054
ACCESS-CM2,historical,Edirne,1998,12,50.355,-3.376
ACCESS-CM2,historical,Edirne,1999,1,59.829,-4.431
ACCESS-CM2,historical,Edirne,1999,2,20.123,0.869
ACCESS-CM2,historical,Edirne,1999,3,102.057,5.324
ACCESS-CM2,historical,Edirne,1999,4,26.055,8.515
ACCESS-CM2,historical,Edirne,1999,5,46.636,16.01
ACCESS-CM2,historical,Edirne,1999,6,64.449,25.177
ACCESS-CM2,historical,Edirne,1999,7,31.036,26.203
ACCESS-CM2,historical,Edirne,1999,8,13.338,23.01
ACCESS-CM2,historical,Edirne,1999,9,6.176,18.907
ACCESS-CM2,historical,Edirne,1999,10,41.59,11.472
ACCESS-CM2,historical,Edirne,1999,11,119.514,4.576
ACCESS-CM2,historical,Edirne,1999,12,131.783,-5.43
ACCESS-CM2,historical,Edirne,2000,1,78.918,-6.622
ACCESS-CM2,historical,Edirne,2000,2,15.044,-0.211
ACCESS-CM2,historical,Edirne,2000,3,73.861,4.737
ACCESS-CM2,historical,Edirne,2000,4,87.955,8.581
ACCESS-CM2,historical,Edirne,2000,5,15.581,20.083
ACCESS-CM2,historical,Edirne,2000,6,207.288,21.368
ACCESS-CM2,historical,Edirne,2000,7,24.871,23.615
ACCESS-CM2,historical,Edirne,2000,8,1.006,25.079
ACCESS-CM2,historical,Edirne,2000,9,7.905,21.474
ACCESS-CM2,historical,Edirne,2000,10,51.976,16.255
ACCESS-CM2,historical,Edirne,2000,11,131.144,2.986
ACCESS-CM2,historical,Edirne,2000,12,82.872,3.675
ACCESS-CM2,historical,Edirne,2001,1,109.078,-6.384
ACCESS-CM2,historical,Edirne,2001,2,17.4,-2.893
ACCESS-CM2,historical,Edirne,2001,3,84.682,3.568
ACCESS-CM2,historical,Edirne,2001,4,58.027,10.958
ACCESS-CM2,historical,Edirne,2001,5,56.503,15.669
ACCESS-CM2,historical,Edirne,2001,6,63.242,22.467
ACCESS-CM2,historical,Edirne,2001,7,22.735,24.965
ACCESS-CM2,historical,Edirne,2001,8,0.973,24.236
ACCESS-CM2,historical,Edirne,2001,9,5.39,16.518
ACCESS-CM2,historical,Edirne,2001,10,27.203,11.738
ACCESS-CM2,historical,Edirne,2001,11,66.908,5.307
ACCESS-CM2,historical,Edirne,2001,12,11.157,-4.189
ACCESS-CM2,historical,Edirne,2002,1,46.989,-4.742
ACCESS-CM2,historical,Edirne,2002,2,17.507,-3.122
ACCESS-CM2,historical,Edirne,2002,3,26.169,6.628
ACCESS-CM2,historical,Edirne,2002,4,43.867,10.858
ACCESS-CM2,historical,Edirne,2002,5,67.43,15.613
