name,indeks,D,n,secilen,AD,p_boot,B_ok,AICc_secim,uyum
Edirne,SPI,1,49,GEV,0.319,0.457,1000,Normal,False
Edirne,SPI,2,45,Weibull3,0.366,0.345,1000,Normal,False
Edirne,SPI,3,43,Weibull3,0.451,0.213,1000,Weibull3,True
Edirne,SPI,4,40,GEV,0.679,0.042,1000,Weibull3,False
Edirne,SPI,5,38,GEV,0.465,0.189,1000,Normal,False
Edirne,SPI,6,37,GEV,0.427,0.229,1000,Normal,False
Kırklareli,SPI,1,49,Gamma3,0.221,0.82,1000,Weibull3,False
Kırklareli,SPI,2,43,Weibull3,0.39,0.399,1000,Weibull3,True
Kırklareli,SPI,3,39,Gumbel,0.44,0.314,1000,Weibull3,False
Kırklareli,SPI,4,35,GEV,0.262,0.546,1000,Gumbel,False
Kırklareli,SPI,5,33,GEV,0.27,0.518,1000,Weibull3,False
Kırklareli,SPI,6,32,GEV,0.288,0.469,1000,Gamma3,False
Lüleburgaz,SPI,1,49,Weibull3,0.364,0.438,1000,Weibull3,True
Lüleburgaz,SPI,2,46,Weibull3,0.398,0.404,1000,Weibull3,True
Lüleburgaz,SPI,3,38,Lojistik,0.362,0.39,1000,Gumbel,False
Lüleburgaz,SPI,4,35,Lojistik,0.3,0.551,1000,Gumbel,False
Lüleburgaz,SPI,5,35,Lojistik,0.364,0.386,1000,Weibull3,False
Lüleburgaz,SPI,6,34,Lojistik,0.309,0.537,1000,Gumbel,False
Sarıyer,SPI,1,49,GEV,0.45,0.189,1000,Normal,False
Sarıyer,SPI,2,45,Normal,0.315,0.566,1000,Normal,True
Sarıyer,SPI,3,42,LN3,0.206,0.775,1000,Weibull3,False
Sarıyer,SPI,4,39,GEV,0.181,0.865,1000,Weibull3,False
Sarıyer,SPI,5,34,LN3,0.16,0.937,1000,Gumbel,False
Sarıyer,SPI,6,31,LN3,0.141,0.96,1000,Gumbel,False
Tekirdağ,SPI,1,48,Weibull3,0.336,0.54,1000,Weibull3,True
Tekirdağ,SPI,2,44,LN3,0.966,0.003,1000,Gamma3,False
Tekirdağ,SPI,3,39,Weibull3,0.393,0.394,1000,Weibull3,True
Tekirdağ,SPI,4,34,GEV,0.37,0.259,1000,Weibull3,False
Tekirdağ,SPI,5,32,GEV,0.3,0.46,1000,Gumbel,False
Tekirdağ,SPI,6,31,Lojistik,0.354,0.394,1000,Gumbel,False
Uzunköprü,SPI,1,45,Weibull3,0.692,0.063,1000,Weibull3,True
Uzunköprü,SPI,2,38,Weibull3,1.051,0.047,1000,Weibull3,True
Uzunköprü,SPI,3,33,GEV,0.651,0.061,1000,Normal,False
Uzunköprü,SPI,4,32,GEV,0.53,0.11,1000,Normal,False
Uzunköprü,SPI,5,31,GEV,0.489,0.152,1000,Normal,False
Uzunköprü,SPI,6,30,GEV,0.404,0.25,1000,Normal,False
Çorlu,SPI,1,45,Weibull3,0.25,0.719,1000,Weibull3,True
Çorlu,SPI,2,43,Weibull3,0.431,0.329,1000,Weibull3,True
Çorlu,SPI,3,38,Weibull3,0.371,0.399,1000,Gumbel,False
Çorlu,SPI,4,36,GEV,0.327,0.356,1000,Weibull3,False
Çorlu,SPI,5,35,Gumbel,0.204,0.882,1000,Gamma3,False
Çorlu,SPI,6,34,GEV,0.181,0.858,1000,Gumbel,False
İpsala,SPI,1,44,Lojistik,0.6,0.08,1000,Gamma3,False
İpsala,SPI,2,37,Normal,0.435,0.306,1000,Weibull3,False
İpsala,SPI,3,32,Lojistik,0.298,0.557,1000,Gumbel,False
İpsala,SPI,4,32,Lojistik,0.326,0.481,1000,Gumbel,False
İpsala,SPI,5,32,GEV,0.221,0.733,1000,Gumbel,False
İpsala,SPI,6,31,Gumbel,0.234,0.836,1000,Gumbel,True
