name,indeks,D,n_nonzero,GEV_b1,GEV_LRT_p,P0_sabit,P0_egim,P0_LRT_p,S50_1980,S100_1980,S50_2024,S100_2024,T_esdeger_1980,GEV_sig_bh,P0_sig_bh
Çorlu,SPI,6,34,1.155,0.1996,0.424,-0.307,0.4955,12.47,13.86,14.23,15.62,257.0,False,False
Çorlu,SPI,9,29,2.858,0.1184,0.508,0.088,0.8424,16.77,18.31,21.11,22.65,1353.0,False,False
Çorlu,SPI,12,26,3.005,0.3453,0.559,-0.055,0.902,21.98,24.02,26.54,28.58,724.0,False,False
İpsala,SPEI,3,35,2.493,0.0,0.407,-1.062,0.024,4.33,4.8,8.5,8.92,inf,True,False
İpsala,SPEI,6,33,4.301,0.0,0.441,-1.405,0.0034,7.37,8.09,14.69,15.28,inf,True,True
İpsala,SPEI,9,26,5.153,0.0008,0.559,-2.183,0.0,10.68,12.5,22.29,23.82,42881.0,True,True
İpsala,SPEI,12,23,7.586,0.0053,0.61,-2.538,0.0,11.07,13.72,29.48,31.56,104409.0,True,True
İpsala,SPI,3,32,1.525,0.0,0.458,-1.143,0.0144,5.03,5.65,7.95,8.54,4419.0,True,False
İpsala,SPI,6,31,2.599,0.0011,0.475,-1.367,0.004,9.95,11.49,15.73,17.25,1400.0,True,True
İpsala,SPI,9,29,2.804,0.0046,0.508,-1.462,0.0022,16.12,19.88,25.65,30.07,470.0,True,True
İpsala,SPI,12,23,2.959,0.0399,0.61,-1.824,0.0003,18.87,23.66,34.17,40.42,673.0,False,True
