name,year,month,SPI12_ec,SPEI12_ec,dekad
Edirne,1965,12,0.4243014895094686,0.7594179545781405,1960
Edirne,1966,1,1.1993079895232726,1.3364806127720428,1960
Edirne,1966,2,0.2969228518457217,0.335740604541003,1960
Edirne,1966,3,0.31470659536019807,0.30668830520764545,1960
Edirne,1966,4,0.4161977413230554,0.2298693996573428,1960
Edirne,1966,5,0.24625475799449112,0.06779097052245868,1960
Edirne,1966,6,0.4933076195591078,0.5291127134732815,1960
Edirne,1966,7,0.6772608691408127,0.6662649864664199,1960
Edirne,1966,8,0.6710543815071474,0.5107332060139517,1960
Edirne,1966,9,0.961276016122248,0.9137620949215375,1960
Edirne,1966,10,1.718116850948975,1.4277811571003578,1960
Edirne,1966,11,2.5916237337084733,2.0055377625610773,1960
Edirne,1966,12,2.8193165618970637,1.982784950645909,1960
Edirne,1967,1,2.7319801723198287,1.9577858153550627,1960
Edirne,1967,2,2.508768180381228,2.016460120355766,1960
Edirne,1967,3,2.1816296443158825,1.8948116767920018,1960
Edirne,1967,4,2.1410812943229875,1.9195828799045214,1960
Edirne,1967,5,2.1715293886265115,1.8147226493337756,1960
Edirne,1967,6,2.481321976160303,1.9748610982344568,1960
Edirne,1967,7,2.530701568998804,2.052664282795953,1960
Edirne,1967,8,2.440570234532531,1.9813304718563727,1960
Edirne,1967,9,2.522173017364532,2.056062317946215,1960
Edirne,1967,10,2.165422815034637,1.8812830689755238,1960
Edirne,1967,11,0.5049306505478113,0.6721203818403184,1960
Edirne,1967,12,-0.2566283660498481,-0.03770516531835887,1960
Edirne,1968,1,0.04918211781248924,0.27886765705352046,1960
Edirne,1968,2,0.38929364077550177,0.4951043049509803,1960
Edirne,1968,3,0.2316208263266363,0.3003588626421532,1960
Edirne,1968,4,-0.14122643044484393,-0.2859222585655094,1960
Edirne,1968,5,-0.6076762960487889,-1.0966743252152957,1960
Edirne,1968,6,-0.9888853783287407,-1.6786661598983619,1960
Edirne,1968,7,-1.4059660967048844,-1.9678947099346855,1960
Edirne,1968,8,-0.77864211016576,-1.2920670210481422,1960
Edirne,1968,9,-0.6576297717385545,-1.14385305413241,1960
Edirne,1968,10,-1.0301648294407804,-1.7208193574760817,1960
Edirne,1968,11,-0.7710501911416141,-1.2780083183584678,1960
Edirne,1968,12,-0.39763518273758014,-0.8252608856569023,1960
Edirne,1969,1,-1.0164872574705945,-1.9021699789316635,1960
Edirne,1969,2,-0.2506027596064834,-0.5688588628314379,1960
Edirne,1969,3,0.08223590862807786,-0.08136358693253969,1960
Edirne,1969,4,0.6488839760294935,0.7289828245171416,1960
Edirne,1969,5,0.7361505405549184,0.8950022162991212,1960
Edirne,1969,6,0.623832463102687,0.7336596839634068,1960
Edirne,1969,7,0.7040416033591804,0.917805112578425,1960
Edirne,1969,8,0.5371389413207398,0.7489481380850661,1960
Edirne,1969,9,0.2310215946208112,0.3975677157397711,1960
Edirne,1969,10,0.10418363378258362,0.3113048970845031,1960
Edirne,1969,11,-0.1983289315916213,-0.12554273922122117,1960
