name,indeks,D,n,secilen,AD,p_boot,B_ok,AICc_secim,uyum
Edirne,SPEI,7,29,GEV,0.208,0.754,1000,Gumbel,False
Edirne,SPEI,8,27,GEV,0.278,0.492,1000,Gumbel,False
Edirne,SPEI,9,25,GEV,0.408,0.209,1000,Gumbel,False
Edirne,SPEI,10,24,GEV,0.394,0.207,1000,Gumbel,False
Edirne,SPEI,11,23,GEV,0.417,0.169,1000,Gumbel,False
Edirne,SPEI,12,21,GEV,0.368,0.222,1000,Gumbel,False
Kırklareli,SPEI,7,33,GEV,0.373,0.246,1000,GEV,True
Kırklareli,SPEI,8,27,GEV,0.229,0.656,1000,Weibull3,False
Kırklareli,SPEI,9,26,GEV,0.234,0.656,1000,GEV,True
Kırklareli,SPEI,10,24,GEV,0.219,0.698,1000,Gamma3,False
Kırklareli,SPEI,11,22,GEV,0.224,0.7,1000,Weibull3,False
Kırklareli,SPEI,12,20,GEV,0.173,0.864,1000,Weibull3,False
Lüleburgaz,SPEI,7,24,LN3,0.223,0.719,1000,Gamma3,False
Lüleburgaz,SPEI,8,19,LN3,0.299,0.524,1000,Weibull3,False
Lüleburgaz,SPEI,9,18,LN3,0.45,0.357,1000,Gamma3,False
Lüleburgaz,SPEI,10,16,GEV,0.519,0.066,1000,Gamma3,False
Sarıyer,SPEI,7,28,Lojistik,0.242,0.745,1000,Gumbel,False
Sarıyer,SPEI,8,27,LN3,0.207,0.776,1000,Gumbel,False
Sarıyer,SPEI,9,26,Gumbel,0.309,0.596,1000,Gamma3,False
Sarıyer,SPEI,10,25,Gumbel,0.359,0.471,1000,Gamma3,False
Sarıyer,SPEI,11,24,Gumbel,0.362,0.455,1000,Gamma3,False
Sarıyer,SPEI,12,21,GEV,0.286,0.465,1000,Gamma3,False
Tekirdağ,SPEI,7,29,LN3,0.327,0.343,1000,Weibull3,False
Tekirdağ,SPEI,8,29,LN3,0.3,0.413,1000,Gumbel,False
Tekirdağ,SPEI,9,29,LN3,0.346,0.307,1000,Gamma3,False
Tekirdağ,SPEI,10,27,Gamma3,0.359,0.619,1000,Weibull3,False
Tekirdağ,SPEI,11,26,Gamma3,0.435,0.49,1000,Gumbel,False
Tekirdağ,SPEI,12,24,Gamma3,0.611,0.4,1000,Gumbel,False
Uzunköprü,SPEI,7,27,Lojistik,0.342,0.428,1000,Gumbel,False
Uzunköprü,SPEI,8,24,Lojistik,0.403,0.31,1000,Gumbel,False
Uzunköprü,SPEI,9,23,Gumbel,0.401,0.389,1000,Gumbel,True
Uzunköprü,SPEI,10,23,Gumbel,0.265,0.717,1000,Gumbel,True
Uzunköprü,SPEI,11,21,GEV,0.248,0.59,1000,Gamma3,False
Uzunköprü,SPEI,12,21,Gumbel,0.356,0.448,1000,Gumbel,True
Çorlu,SPEI,7,32,GEV,0.146,0.942,1000,Gumbel,False
Çorlu,SPEI,8,29,GEV,0.201,0.782,1000,Gumbel,False
Çorlu,SPEI,9,27,GEV,0.215,0.726,1000,Gumbel,False
Çorlu,SPEI,10,25,GEV,0.393,0.229,1000,Gumbel,False
Çorlu,SPEI,11,23,GEV,0.229,0.659,1000,Gumbel,False
Çorlu,SPEI,12,23,GEV,0.193,0.812,1000,Gumbel,False
İpsala,SPEI,7,32,Weibull3,0.278,0.679,1000,Weibull3,True
İpsala,SPEI,8,30,GEV,0.24,0.643,1000,Weibull3,False
İpsala,SPEI,9,26,Weibull3,0.147,0.982,1000,Gumbel,False
İpsala,SPEI,10,25,GEV,0.151,0.953,1000,Gumbel,False
İpsala,SPEI,11,24,LN3,0.171,0.882,1000,Weibull3,False
İpsala,SPEI,12,23,LN3,0.168,0.891,1000,Weibull3,False
