model,ssp,name,indeks,pencere,D,n_nonzero,P0,dagilim,T10,T50,T100
ACCESS-CM2,ssp245,Sarıyer,SPEI,2070-2099,6,27,0.1,Weibull3,16.64,19.95,21.08
ACCESS-CM2,ssp245,Sarıyer,SPEI,2070-2099,9,27,0.1,Weibull3,24.14,28.86,30.46
ACCESS-CM2,ssp245,Sarıyer,SPEI,2070-2099,12,25,0.167,Gamma3,31.5,37.6,39.76
ACCESS-CM2,ssp245,Tekirdağ,SPI,2030-2059,3,26,0.133,Gumbel,6.33,9.11,10.29
ACCESS-CM2,ssp245,Tekirdağ,SPI,2030-2059,6,23,0.233,GEV,10.6,11.84,12.1
ACCESS-CM2,ssp245,Tekirdağ,SPI,2030-2059,9,19,0.367,GEV,14.6,16.11,16.44
ACCESS-CM2,ssp245,Tekirdağ,SPI,2030-2059,12,16,0.467,Lojistik,18.27,21.78,23.19
ACCESS-CM2,ssp245,Tekirdağ,SPI,2070-2099,3,16,0.467,GEV,3.17,4.95,5.75
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2030-2059,3,30,0.0,Lojistik,9.41,11.73,12.7
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2030-2059,6,27,0.1,Weibull3,18.2,21.64,22.81
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2030-2059,9,25,0.167,Weibull3,26.4,30.92,32.42
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2030-2059,12,24,0.2,Gamma3,33.82,45.37,50.19
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2070-2099,3,29,0.033,GEV,8.34,9.92,10.41
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2070-2099,6,29,0.033,Weibull3,15.79,18.72,19.71
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2070-2099,9,28,0.067,GEV,22.74,25.98,26.86
ACCESS-CM2,ssp245,Tekirdağ,SPEI,2070-2099,12,26,0.133,GEV,29.59,32.96,33.77
ACCESS-CM2,ssp245,Uzunköprü,SPI,2030-2059,3,26,0.133,GEV,4.99,6.33,6.78
ACCESS-CM2,ssp245,Uzunköprü,SPI,2030-2059,6,22,0.267,Lojistik,9.13,11.75,12.83
ACCESS-CM2,ssp245,Uzunköprü,SPI,2030-2059,9,18,0.4,Lojistik,13.08,16.57,17.98
ACCESS-CM2,ssp245,Uzunköprü,SPI,2030-2059,12,16,0.467,Gumbel,16.22,21.95,24.33
ACCESS-CM2,ssp245,Uzunköprü,SPI,2070-2099,3,12,0.6,GEV,3.13,6.03,7.61
ACCESS-CM2,ssp245,Uzunköprü,SPEI,2030-2059,3,29,0.033,Weibull3,11.08,14.85,16.29
ACCESS-CM2,ssp245,Uzunköprü,SPEI,2030-2059,6,28,0.067,Lojistik,19.82,25.59,27.98
ACCESS-CM2,ssp245,Uzunköprü,SPEI,2030-2059,9,25,0.167,Lojistik,27.14,34.57,37.63
ACCESS-CM2,ssp245,Uzunköprü,SPEI,2030-2059,12,24,0.2,Lojistik,33.51,42.93,46.8
ACCESS-CM2,ssp245,Uzunköprü,SPEI,2070-2099,3,29,0.033,Gamma3,10.57,15.62,17.7
ACCESS-CM2,ssp245,Uzunköprü,SPEI,2070-2099,6,26,0.133,Weibull3,20.81,31.26,35.46
ACCESS-CM2,ssp245,Uzunköprü,SPEI,2070-2099,9,22,0.267,LN3,27.71,37.47,41.23
ACCESS-CM2,ssp245,Uzunköprü,SPEI,2070-2099,12,19,0.367,Lojistik,34.21,44.98,49.34
ACCESS-CM2,ssp245,Çorlu,SPI,2030-2059,3,26,0.133,Gumbel,6.65,9.34,10.47
ACCESS-CM2,ssp245,Çorlu,SPI,2030-2059,6,24,0.2,GEV,11.45,12.33,12.48
ACCESS-CM2,ssp245,Çorlu,SPI,2030-2059,9,20,0.333,Weibull3,15.83,17.58,18.1
ACCESS-CM2,ssp245,Çorlu,SPI,2030-2059,12,18,0.4,Weibull3,20.1,22.31,22.96
ACCESS-CM2,ssp245,Çorlu,SPI,2070-2099,3,19,0.367,GEV,3.72,5.69,6.58
ACCESS-CM2,ssp245,Çorlu,SPI,2070-2099,6,14,0.533,Gumbel,7.13,10.66,12.12
ACCESS-CM2,ssp245,Çorlu,SPEI,2030-2059,3,30,0.0,Gumbel,10.91,14.82,16.48
ACCESS-CM2,ssp245,Çorlu,SPEI,2030-2059,6,28,0.067,Gumbel,21.44,29.48,32.87
ACCESS-CM2,ssp245,Çorlu,SPEI,2030-2059,9,26,0.133,Gumbel,30.1,40.65,45.1
ACCESS-CM2,ssp245,Çorlu,SPEI,2030-2059,12,26,0.133,Gumbel,36.88,48.94,54.02
ACCESS-CM2,ssp245,Çorlu,SPEI,2070-2099,3,29,0.033,LN3,10.47,15.32,17.55
ACCESS-CM2,ssp245,Çorlu,SPEI,2070-2099,6,29,0.033,Weibull3,18.8,23.85,25.7
ACCESS-CM2,ssp245,Çorlu,SPEI,2070-2099,9,27,0.1,Weibull3,26.92,33.23,35.46
ACCESS-CM2,ssp245,Çorlu,SPEI,2070-2099,12,25,0.167,Normal,34.01,40.89,43.29
ACCESS-CM2,ssp245,İpsala,SPI,2030-2059,3,25,0.167,Weibull3,5.03,6.74,7.37
ACCESS-CM2,ssp245,İpsala,SPI,2030-2059,6,22,0.267,GEV,8.86,10.52,10.98
ACCESS-CM2,ssp245,İpsala,SPI,2030-2059,9,18,0.4,GEV,12.47,14.35,14.82
ACCESS-CM2,ssp245,İpsala,SPI,2030-2059,12,13,0.567,GEV,14.9,19.61,22.04
ACCESS-CM2,ssp245,İpsala,SPI,2070-2099,3,13,0.567,GEV,2.32,4.89,6.68
ACCESS-CM2,ssp245,İpsala,SPEI,2030-2059,3,30,0.0,GEV,10.09,11.66,12.07
ACCESS-CM2,ssp245,İpsala,SPEI,2030-2059,6,27,0.1,Weibull3,17.65,20.51,21.43
ACCESS-CM2,ssp245,İpsala,SPEI,2030-2059,9,23,0.233,GEV,24.89,29.44,30.87
ACCESS-CM2,ssp245,İpsala,SPEI,2030-2059,12,22,0.267,Gumbel,30.74,39.56,43.26
ACCESS-CM2,ssp245,İpsala,SPEI,2070-2099,3,29,0.033,GEV,8.99,11.97,13.11
ACCESS-CM2,ssp245,İpsala,SPEI,2070-2099,6,28,0.067,LN3,15.76,21.26,23.52
ACCESS-CM2,ssp245,İpsala,SPEI,2070-2099,9,28,0.067,GEV,21.69,27.25,29.17
ACCESS-CM2,ssp245,İpsala,SPEI,2070-2099,12,24,0.2,Lojistik,27.77,35.01,37.99
ACCESS-CM2,ssp585,Edirne,SPI,2030-2059,3,20,0.333,Lojistik,4.38,5.75,6.31
ACCESS-CM2,ssp585,Edirne,SPI,2030-2059,6,14,0.533,LN3,8.13,10.83,11.79
ACCESS-CM2,ssp585,Edirne,SPI,2070-2099,3,26,0.133,GEV,6.92,7.88,8.12
ACCESS-CM2,ssp585,Edirne,SPI,2070-2099,6,25,0.167,GEV,12.39,14.04,14.45
ACCESS-CM2,ssp585,Edirne,SPI,2070-2099,9,23,0.233,GEV,17.05,18.26,18.47
ACCESS-CM2,ssp585,Edirne,SPI,2070-2099,12,21,0.3,GEV,21.12,24.29,25.13
ACCESS-CM2,ssp585,Edirne,SPEI,2030-2059,3,26,0.133,Lojistik,9.62,12.0,12.98
ACCESS-CM2,ssp585,Edirne,SPEI,2030-2059,6,25,0.167,Gamma3,18.0,22.06,23.56
ACCESS-CM2,ssp585,Edirne,SPEI,2030-2059,9,22,0.267,Weibull3,26.21,35.21,38.85
ACCESS-CM2,ssp585,Edirne,SPEI,2030-2059,12,21,0.3,LN3,33.36,42.31,45.84
ACCESS-CM2,ssp585,Edirne,SPEI,2070-2099,3,30,0.0,Lojistik,15.49,17.02,17.65
ACCESS-CM2,ssp585,Edirne,SPEI,2070-2099,6,30,0.0,Lojistik,31.02,34.61,36.09
ACCESS-CM2,ssp585,Edirne,SPEI,2070-2099,9,30,0.0,Lojistik,45.43,50.3,52.32
ACCESS-CM2,ssp585,Edirne,SPEI,2070-2099,12,30,0.0,Lojistik,58.85,64.53,66.89
ACCESS-CM2,ssp585,Kırklareli,SPI,2030-2059,3,20,0.333,Lojistik,4.47,5.8,6.34
ACCESS-CM2,ssp585,Kırklareli,SPI,2030-2059,6,18,0.4,LN3,8.01,10.71,11.73
ACCESS-CM2,ssp585,Kırklareli,SPI,2070-2099,3,26,0.133,GEV,6.73,7.74,8.01
ACCESS-CM2,ssp585,Kırklareli,SPI,2070-2099,6,25,0.167,GEV,12.12,13.32,13.57
ACCESS-CM2,ssp585,Kırklareli,SPI,2070-2099,9,22,0.267,GEV,16.81,17.99,18.2
ACCESS-CM2,ssp585,Kırklareli,SPI,2070-2099,12,21,0.3,GEV,20.66,23.45,24.14
ACCESS-CM2,ssp585,Kırklareli,SPEI,2030-2059,3,26,0.133,Normal,10.13,12.22,12.95
ACCESS-CM2,ssp585,Kırklareli,SPEI,2030-2059,6,25,0.167,Weibull3,18.2,21.35,22.42
ACCESS-CM2,ssp585,Kırklareli,SPEI,2030-2059,9,20,0.333,Gamma3,25.69,30.69,32.51
ACCESS-CM2,ssp585,Kırklareli,SPEI,2030-2059,12,20,0.333,Gamma3,33.27,39.93,42.32
ACCESS-CM2,ssp585,Kırklareli,SPEI,2070-2099,3,30,0.0,Lojistik,15.15,16.51,17.07
ACCESS-CM2,ssp585,Kırklareli,SPEI,2070-2099,6,30,0.0,GEV,28.03,28.26,28.29
ACCESS-CM2,ssp585,Kırklareli,SPEI,2070-2099,9,30,0.0,Weibull3,41.9,43.65,44.19
ACCESS-CM2,ssp585,Kırklareli,SPEI,2070-2099,12,30,0.0,Lojistik,57.08,62.72,65.06
ACCESS-CM2,ssp585,Lüleburgaz,SPI,2030-2059,3,18,0.4,Lojistik,3.71,4.93,5.43
ACCESS-CM2,ssp585,Lüleburgaz,SPI,2030-2059,6,13,0.567,GEV,6.26,9.84,11.7
