model,ssp,name,indeks,pencere,D,n_nonzero,P0,dagilim,T10,T50,T100
GFDL-ESM4,ssp245,Kırklareli,SPI,2030-2059,3,22,0.267,Weibull3,5.47,8.32,9.45
GFDL-ESM4,ssp245,Kırklareli,SPI,2030-2059,6,16,0.467,LN3,8.61,11.9,13.15
GFDL-ESM4,ssp245,Kırklareli,SPI,2070-2099,3,22,0.267,Normal,4.74,6.02,6.46
GFDL-ESM4,ssp245,Kırklareli,SPI,2070-2099,6,17,0.433,Gamma3,8.31,11.89,13.36
GFDL-ESM4,ssp245,Kırklareli,SPI,2070-2099,9,15,0.5,Gamma3,11.59,17.48,19.92
GFDL-ESM4,ssp245,Kırklareli,SPI,2070-2099,12,12,0.6,Lojistik,15.5,20.1,21.89
GFDL-ESM4,ssp245,Kırklareli,SPEI,2030-2059,3,28,0.067,Weibull3,8.48,11.41,12.5
GFDL-ESM4,ssp245,Kırklareli,SPEI,2030-2059,6,25,0.167,Weibull3,15.31,21.75,24.35
GFDL-ESM4,ssp245,Kırklareli,SPEI,2030-2059,9,23,0.233,Normal,19.8,24.2,25.72
GFDL-ESM4,ssp245,Kırklareli,SPEI,2030-2059,12,18,0.4,Normal,24.41,29.92,31.8
GFDL-ESM4,ssp245,Kırklareli,SPEI,2070-2099,3,30,0.0,Gumbel,9.24,12.73,14.21
GFDL-ESM4,ssp245,Kırklareli,SPEI,2070-2099,6,27,0.1,Weibull3,17.26,22.28,24.12
GFDL-ESM4,ssp245,Kırklareli,SPEI,2070-2099,9,26,0.133,Gamma3,23.98,31.5,34.47
GFDL-ESM4,ssp245,Kırklareli,SPEI,2070-2099,12,22,0.267,Weibull3,30.46,40.46,44.31
GFDL-ESM4,ssp245,Lüleburgaz,SPI,2030-2059,3,17,0.433,GEV,4.53,6.33,6.96
GFDL-ESM4,ssp245,Lüleburgaz,SPI,2030-2059,6,13,0.567,Gamma3,7.23,9.61,10.4
GFDL-ESM4,ssp245,Lüleburgaz,SPI,2070-2099,3,21,0.3,Lojistik,4.21,5.76,6.4
GFDL-ESM4,ssp245,Lüleburgaz,SPI,2070-2099,6,15,0.5,Gumbel,7.1,10.76,12.27
GFDL-ESM4,ssp245,Lüleburgaz,SPI,2070-2099,9,12,0.6,Gamma3,9.56,14.97,17.12
GFDL-ESM4,ssp245,Lüleburgaz,SPEI,2030-2059,3,26,0.133,LN3,8.38,15.53,19.21
GFDL-ESM4,ssp245,Lüleburgaz,SPEI,2030-2059,6,20,0.333,Gumbel,13.44,20.15,22.96
GFDL-ESM4,ssp245,Lüleburgaz,SPEI,2030-2059,9,13,0.567,Lojistik,17.36,23.04,25.27
GFDL-ESM4,ssp245,Lüleburgaz,SPEI,2070-2099,3,29,0.033,LN3,11.52,18.92,22.47
GFDL-ESM4,ssp245,Lüleburgaz,SPEI,2070-2099,6,24,0.2,LN3,19.6,35.96,44.93
GFDL-ESM4,ssp245,Lüleburgaz,SPEI,2070-2099,9,24,0.2,Weibull3,26.81,40.66,46.42
GFDL-ESM4,ssp245,Lüleburgaz,SPEI,2070-2099,12,20,0.333,LN3,32.83,60.65,76.16
GFDL-ESM4,ssp245,Sarıyer,SPI,2030-2059,3,21,0.3,Normal,5.43,6.76,7.22
GFDL-ESM4,ssp245,Sarıyer,SPI,2030-2059,6,17,0.433,Gamma3,9.75,13.18,14.43
GFDL-ESM4,ssp245,Sarıyer,SPI,2030-2059,9,13,0.567,Gamma3,12.98,16.78,18.08
GFDL-ESM4,ssp245,Sarıyer,SPI,2070-2099,3,24,0.2,Lojistik,4.62,6.14,6.76
GFDL-ESM4,ssp245,Sarıyer,SPI,2070-2099,6,16,0.467,GEV,9.02,13.77,15.93
GFDL-ESM4,ssp245,Sarıyer,SPI,2070-2099,9,13,0.567,GEV,11.53,27.1,39.87
GFDL-ESM4,ssp245,Sarıyer,SPEI,2030-2059,3,22,0.267,Weibull3,6.57,7.87,8.31
GFDL-ESM4,ssp245,Sarıyer,SPEI,2030-2059,6,20,0.333,Weibull3,12.07,14.91,15.88
GFDL-ESM4,ssp245,Sarıyer,SPEI,2030-2059,9,18,0.4,LN3,16.59,21.1,22.76
GFDL-ESM4,ssp245,Sarıyer,SPEI,2030-2059,12,14,0.533,Weibull3,21.73,25.14,26.09
GFDL-ESM4,ssp245,Sarıyer,SPEI,2070-2099,3,27,0.1,GEV,6.8,8.4,8.95
GFDL-ESM4,ssp245,Sarıyer,SPEI,2070-2099,6,23,0.233,Weibull3,12.7,16.09,17.3
GFDL-ESM4,ssp245,Sarıyer,SPEI,2070-2099,9,22,0.267,Lojistik,17.65,22.52,24.52
GFDL-ESM4,ssp245,Sarıyer,SPEI,2070-2099,12,20,0.333,LN3,23.01,30.59,33.54
GFDL-ESM4,ssp245,Tekirdağ,SPI,2030-2059,3,18,0.4,Lojistik,3.6,4.76,5.23
GFDL-ESM4,ssp245,Tekirdağ,SPI,2070-2099,3,23,0.233,Weibull3,4.97,7.2,8.06
GFDL-ESM4,ssp245,Tekirdağ,SPI,2070-2099,6,16,0.467,Weibull3,9.07,12.86,14.24
GFDL-ESM4,ssp245,Tekirdağ,SPI,2070-2099,9,13,0.567,Lojistik,12.88,17.14,18.82
GFDL-ESM4,ssp245,Tekirdağ,SPEI,2030-2059,3,24,0.2,Weibull3,5.59,6.88,7.32
GFDL-ESM4,ssp245,Tekirdağ,SPEI,2030-2059,6,18,0.4,Gamma3,9.77,13.49,14.94
GFDL-ESM4,ssp245,Tekirdağ,SPEI,2030-2059,9,16,0.467,LN3,13.29,18.11,19.97
GFDL-ESM4,ssp245,Tekirdağ,SPEI,2030-2059,12,14,0.533,Gumbel,15.61,22.37,25.16
GFDL-ESM4,ssp245,Tekirdağ,SPEI,2070-2099,3,29,0.033,Weibull3,8.03,10.29,11.12
GFDL-ESM4,ssp245,Tekirdağ,SPEI,2070-2099,6,28,0.067,Weibull3,15.1,19.16,20.61
GFDL-ESM4,ssp245,Tekirdağ,SPEI,2070-2099,9,26,0.133,LN3,21.4,29.86,33.52
GFDL-ESM4,ssp245,Tekirdağ,SPEI,2070-2099,12,24,0.2,Weibull3,26.59,33.77,36.36
GFDL-ESM4,ssp245,Uzunköprü,SPI,2030-2059,3,19,0.367,LN3,4.66,6.77,7.59
GFDL-ESM4,ssp245,Uzunköprü,SPI,2030-2059,6,13,0.567,Gamma3,7.39,9.9,10.76
GFDL-ESM4,ssp245,Uzunköprü,SPI,2070-2099,3,21,0.3,Normal,4.16,5.29,5.68
GFDL-ESM4,ssp245,Uzunköprü,SPI,2070-2099,6,17,0.433,Gamma3,6.96,9.7,10.76
GFDL-ESM4,ssp245,Uzunköprü,SPI,2070-2099,9,14,0.533,GEV,9.29,14.45,17.01
GFDL-ESM4,ssp245,Uzunköprü,SPI,2070-2099,12,12,0.6,GEV,11.75,19.35,23.6
GFDL-ESM4,ssp245,Uzunköprü,SPEI,2030-2059,3,26,0.133,LN3,7.54,12.73,15.26
GFDL-ESM4,ssp245,Uzunköprü,SPEI,2030-2059,6,20,0.333,GEV,12.45,16.12,17.31
GFDL-ESM4,ssp245,Uzunköprü,SPEI,2030-2059,9,15,0.5,GEV,16.93,19.74,20.33
GFDL-ESM4,ssp245,Uzunköprü,SPEI,2070-2099,3,28,0.067,LN3,8.64,12.4,14.0
GFDL-ESM4,ssp245,Uzunköprü,SPEI,2070-2099,6,23,0.233,Gumbel,15.43,21.75,24.41
GFDL-ESM4,ssp245,Uzunköprü,SPEI,2070-2099,9,22,0.267,Gumbel,21.51,29.9,33.42
GFDL-ESM4,ssp245,Uzunköprü,SPEI,2070-2099,12,18,0.4,Gumbel,26.81,37.01,41.26
GFDL-ESM4,ssp245,Çorlu,SPI,2030-2059,3,19,0.367,Lojistik,4.89,6.62,7.32
GFDL-ESM4,ssp245,Çorlu,SPI,2030-2059,6,15,0.5,GEV,7.86,10.41,11.35
GFDL-ESM4,ssp245,Çorlu,SPI,2070-2099,3,23,0.233,Gumbel,4.55,6.69,7.58
GFDL-ESM4,ssp245,Çorlu,SPI,2070-2099,6,16,0.467,Gamma3,8.26,12.37,14.04
GFDL-ESM4,ssp245,Çorlu,SPI,2070-2099,9,13,0.567,Gumbel,11.38,16.66,18.83
GFDL-ESM4,ssp245,Çorlu,SPEI,2030-2059,3,24,0.2,LN3,7.13,9.46,10.35
GFDL-ESM4,ssp245,Çorlu,SPEI,2030-2059,6,22,0.267,LN3,12.2,15.08,16.08
GFDL-ESM4,ssp245,Çorlu,SPEI,2030-2059,9,19,0.367,Weibull3,16.76,20.65,21.91
GFDL-ESM4,ssp245,Çorlu,SPEI,2030-2059,12,14,0.533,GEV,21.21,24.1,24.69
GFDL-ESM4,ssp245,Çorlu,SPEI,2070-2099,3,29,0.033,Gamma3,8.21,11.29,12.52
GFDL-ESM4,ssp245,Çorlu,SPEI,2070-2099,6,24,0.2,Weibull3,15.55,19.71,21.16
GFDL-ESM4,ssp245,Çorlu,SPEI,2070-2099,9,21,0.3,Weibull3,21.86,28.41,30.77
GFDL-ESM4,ssp245,Çorlu,SPEI,2070-2099,12,18,0.4,Weibull3,27.25,35.55,38.61
GFDL-ESM4,ssp245,İpsala,SPI,2030-2059,3,15,0.5,Lojistik,3.32,4.41,4.84
GFDL-ESM4,ssp245,İpsala,SPI,2070-2099,3,21,0.3,GEV,3.78,5.36,5.95
GFDL-ESM4,ssp245,İpsala,SPI,2070-2099,6,14,0.533,Weibull3,7.16,9.47,10.25
GFDL-ESM4,ssp245,İpsala,SPEI,2030-2059,3,22,0.267,Lojistik,5.34,7.09,7.81
GFDL-ESM4,ssp245,İpsala,SPEI,2030-2059,6,18,0.4,GEV,9.44,12.46,13.52
GFDL-ESM4,ssp245,İpsala,SPEI,2030-2059,9,15,0.5,Gamma3,13.01,17.35,18.96
GFDL-ESM4,ssp245,İpsala,SPEI,2030-2059,12,13,0.567,Gamma3,16.02,20.74,22.35
GFDL-ESM4,ssp245,İpsala,SPEI,2070-2099,3,29,0.033,Weibull3,8.36,11.69,12.98
GFDL-ESM4,ssp245,İpsala,SPEI,2070-2099,6,26,0.133,Weibull3,14.42,18.36,19.76
GFDL-ESM4,ssp245,İpsala,SPEI,2070-2099,9,24,0.2,Weibull3,19.86,25.25,27.18
GFDL-ESM4,ssp245,İpsala,SPEI,2070-2099,12,20,0.333,Lojistik,24.82,31.49,34.2
GFDL-ESM4,ssp585,Edirne,SPI,2030-2059,3,20,0.333,GEV,5.74,9.11,10.69
GFDL-ESM4,ssp585,Edirne,SPI,2030-2059,6,18,0.4,GEV,10.18,17.64,21.57
GFDL-ESM4,ssp585,Edirne,SPI,2030-2059,9,15,0.5,GEV,14.1,25.86,32.39
GFDL-ESM4,ssp585,Edirne,SPI,2070-2099,3,29,0.033,Gumbel,7.85,10.93,12.22
GFDL-ESM4,ssp585,Edirne,SPI,2070-2099,6,24,0.2,Gamma3,14.67,20.65,23.12
GFDL-ESM4,ssp585,Edirne,SPI,2070-2099,9,24,0.2,LN3,21.32,31.15,35.65
GFDL-ESM4,ssp585,Edirne,SPI,2070-2099,12,17,0.433,Gumbel,27.82,38.71,43.24
GFDL-ESM4,ssp585,Edirne,SPEI,2030-2059,3,24,0.2,Lojistik,9.62,12.87,14.21
GFDL-ESM4,ssp585,Edirne,SPEI,2030-2059,6,23,0.233,Gumbel,18.35,26.47,29.89
GFDL-ESM4,ssp585,Edirne,SPEI,2030-2059,9,20,0.333,GEV,25.25,36.35,41.16
GFDL-ESM4,ssp585,Edirne,SPEI,2030-2059,12,18,0.4,LN3,32.96,56.49,69.0
GFDL-ESM4,ssp585,Edirne,SPEI,2070-2099,3,30,0.0,Gamma3,14.38,16.78,17.64
GFDL-ESM4,ssp585,Edirne,SPEI,2070-2099,6,30,0.0,Gamma3,27.43,32.29,34.03
GFDL-ESM4,ssp585,Edirne,SPEI,2070-2099,9,29,0.033,Weibull3,39.96,45.79,47.77
GFDL-ESM4,ssp585,Edirne,SPEI,2070-2099,12,29,0.033,Gamma3,52.06,60.47,63.45
GFDL-ESM4,ssp585,Kırklareli,SPI,2030-2059,3,20,0.333,GEV,5.54,8.99,10.68
GFDL-ESM4,ssp585,Kırklareli,SPI,2030-2059,6,18,0.4,GEV,9.99,16.6,19.88
GFDL-ESM4,ssp585,Kırklareli,SPI,2030-2059,9,16,0.467,GEV,13.71,22.91,27.57
GFDL-ESM4,ssp585,Kırklareli,SPI,2070-2099,3,29,0.033,Gumbel,7.31,10.16,11.36
GFDL-ESM4,ssp585,Kırklareli,SPI,2070-2099,6,25,0.167,Gumbel,13.79,19.0,21.19
GFDL-ESM4,ssp585,Kırklareli,SPI,2070-2099,9,24,0.2,LN3,20.53,32.42,38.37
GFDL-ESM4,ssp585,Kırklareli,SPI,2070-2099,12,20,0.333,GEV,26.33,36.06,39.93
GFDL-ESM4,ssp585,Kırklareli,SPEI,2030-2059,3,25,0.167,Lojistik,9.47,12.64,13.95
GFDL-ESM4,ssp585,Kırklareli,SPEI,2030-2059,6,25,0.167,Lojistik,17.03,22.61,24.9
GFDL-ESM4,ssp585,Kırklareli,SPEI,2030-2059,9,22,0.267,GEV,25.2,35.67,39.97
GFDL-ESM4,ssp585,Kırklareli,SPEI,2030-2059,12,22,0.267,Gumbel,32.41,46.6,52.56
GFDL-ESM4,ssp585,Kırklareli,SPEI,2070-2099,3,30,0.0,GEV,13.54,14.12,14.22
GFDL-ESM4,ssp585,Kırklareli,SPEI,2070-2099,6,30,0.0,Weibull3,26.01,28.21,28.89
GFDL-ESM4,ssp585,Kırklareli,SPEI,2070-2099,9,29,0.033,Weibull3,38.11,42.52,43.96
GFDL-ESM4,ssp585,Kırklareli,SPEI,2070-2099,12,29,0.033,Normal,49.94,57.56,60.25
GFDL-ESM4,ssp585,Lüleburgaz,SPI,2030-2059,3,19,0.367,GEV,4.47,7.62,9.2
GFDL-ESM4,ssp585,Lüleburgaz,SPI,2030-2059,6,15,0.5,GEV,7.74,14.74,18.79
GFDL-ESM4,ssp585,Lüleburgaz,SPI,2070-2099,3,27,0.1,LN3,6.62,9.96,11.52
GFDL-ESM4,ssp585,Lüleburgaz,SPI,2070-2099,6,24,0.2,Gumbel,13.01,18.6,20.95
GFDL-ESM4,ssp585,Lüleburgaz,SPI,2070-2099,9,22,0.267,Weibull3,18.99,26.84,29.89
GFDL-ESM4,ssp585,Lüleburgaz,SPI,2070-2099,12,17,0.433,LN3,24.45,32.93,36.18
GFDL-ESM4,ssp585,Lüleburgaz,SPEI,2030-2059,3,22,0.267,GEV,9.24,14.06,16.15
GFDL-ESM4,ssp585,Lüleburgaz,SPEI,2030-2059,6,20,0.333,GEV,16.04,26.61,32.1
GFDL-ESM4,ssp585,Lüleburgaz,SPEI,2030-2059,9,18,0.4,GEV,20.96,41.55,55.84
GFDL-ESM4,ssp585,Lüleburgaz,SPEI,2030-2059,12,14,0.533,GEV,28.09,88.92,152.57
GFDL-ESM4,ssp585,Lüleburgaz,SPEI,2070-2099,3,30,0.0,Lojistik,16.29,19.1,20.27
GFDL-ESM4,ssp585,Lüleburgaz,SPEI,2070-2099,6,30,0.0,Lojistik,30.83,37.37,40.09
GFDL-ESM4,ssp585,Lüleburgaz,SPEI,2070-2099,9,28,0.067,Lojistik,43.55,51.98,55.47
GFDL-ESM4,ssp585,Lüleburgaz,SPEI,2070-2099,12,28,0.067,Weibull3,53.71,58.46,59.91
GFDL-ESM4,ssp585,Sarıyer,SPI,2030-2059,3,18,0.4,Gamma3,5.17,8.11,9.32
GFDL-ESM4,ssp585,Sarıyer,SPI,2030-2059,6,15,0.5,GEV,8.77,16.5,21.31
GFDL-ESM4,ssp585,Sarıyer,SPI,2030-2059,9,13,0.567,GEV,12.29,24.56,34.16
GFDL-ESM4,ssp585,Sarıyer,SPI,2070-2099,3,27,0.1,GEV,7.3,8.85,9.31
GFDL-ESM4,ssp585,Sarıyer,SPI,2070-2099,6,24,0.2,Weibull3,13.73,17.65,19.04
GFDL-ESM4,ssp585,Sarıyer,SPI,2070-2099,9,22,0.267,Normal,19.28,23.67,25.18
GFDL-ESM4,ssp585,Sarıyer,SPI,2070-2099,12,19,0.367,Normal,24.24,29.85,31.77
GFDL-ESM4,ssp585,Sarıyer,SPEI,2030-2059,3,23,0.233,GEV,6.92,9.73,10.86
GFDL-ESM4,ssp585,Sarıyer,SPEI,2030-2059,6,22,0.267,LN3,12.45,17.1,18.95
GFDL-ESM4,ssp585,Sarıyer,SPEI,2030-2059,9,17,0.433,Gumbel,17.84,23.94,26.47
GFDL-ESM4,ssp585,Sarıyer,SPEI,2030-2059,12,15,0.5,Weibull3,23.51,32.75,36.48
GFDL-ESM4,ssp585,Sarıyer,SPEI,2070-2099,3,29,0.033,Weibull3,10.07,12.25,13.04
GFDL-ESM4,ssp585,Sarıyer,SPEI,2070-2099,6,29,0.033,Weibull3,18.89,23.13,24.7
GFDL-ESM4,ssp585,Sarıyer,SPEI,2070-2099,9,29,0.033,GEV,26.77,30.82,32.05
GFDL-ESM4,ssp585,Sarıyer,SPEI,2070-2099,12,29,0.033,LN3,34.91,41.44,43.83
GFDL-ESM4,ssp585,Tekirdağ,SPI,2030-2059,3,17,0.433,GEV,4.75,6.2,6.65
GFDL-ESM4,ssp585,Tekirdağ,SPI,2030-2059,6,14,0.533,Gamma3,8.19,11.28,12.42
GFDL-ESM4,ssp585,Tekirdağ,SPI,2030-2059,9,12,0.6,Gamma3,11.56,16.52,18.47
GFDL-ESM4,ssp585,Tekirdağ,SPI,2070-2099,3,28,0.067,GEV,6.69,8.03,8.45
GFDL-ESM4,ssp585,Tekirdağ,SPI,2070-2099,6,24,0.2,GEV,11.99,13.58,13.98
GFDL-ESM4,ssp585,Tekirdağ,SPI,2070-2099,9,23,0.233,GEV,17.46,19.08,19.41
GFDL-ESM4,ssp585,Tekirdağ,SPI,2070-2099,12,21,0.3,GEV,22.46,24.42,24.79
GFDL-ESM4,ssp585,Tekirdağ,SPEI,2030-2059,3,23,0.233,Normal,6.9,8.64,9.24
GFDL-ESM4,ssp585,Tekirdağ,SPEI,2030-2059,6,20,0.333,Lojistik,12.76,16.77,18.4
GFDL-ESM4,ssp585,Tekirdağ,SPEI,2030-2059,9,18,0.4,GEV,18.66,24.75,26.94
GFDL-ESM4,ssp585,Tekirdağ,SPEI,2030-2059,12,14,0.533,Gumbel,23.94,35.49,40.25
GFDL-ESM4,ssp585,Tekirdağ,SPEI,2070-2099,3,30,0.0,GEV,11.61,12.39,12.56
GFDL-ESM4,ssp585,Tekirdağ,SPEI,2070-2099,6,30,0.0,GEV,21.54,22.45,22.6
GFDL-ESM4,ssp585,Tekirdağ,SPEI,2070-2099,9,28,0.067,GEV,30.99,32.69,33.03
GFDL-ESM4,ssp585,Tekirdağ,SPEI,2070-2099,12,28,0.067,Weibull3,40.04,44.08,45.36
GFDL-ESM4,ssp585,Uzunköprü,SPI,2030-2059,3,20,0.333,LN3,4.88,7.69,8.94
GFDL-ESM4,ssp585,Uzunköprü,SPI,2030-2059,6,16,0.467,GEV,8.4,14.98,18.45
GFDL-ESM4,ssp585,Uzunköprü,SPI,2070-2099,3,27,0.1,Gamma3,6.29,9.06,10.21
GFDL-ESM4,ssp585,Uzunköprü,SPI,2070-2099,6,23,0.233,Gamma3,12.02,17.12,19.22
GFDL-ESM4,ssp585,Uzunköprü,SPI,2070-2099,9,22,0.267,Gamma3,17.74,25.04,27.97
GFDL-ESM4,ssp585,Uzunköprü,SPI,2070-2099,12,17,0.433,LN3,22.84,30.33,33.16
GFDL-ESM4,ssp585,Uzunköprü,SPEI,2030-2059,3,22,0.267,Lojistik,7.87,10.46,11.51
GFDL-ESM4,ssp585,Uzunköprü,SPEI,2030-2059,6,20,0.333,GEV,15.05,23.73,28.15
GFDL-ESM4,ssp585,Uzunköprü,SPEI,2030-2059,9,19,0.367,GEV,19.59,36.39,47.93
GFDL-ESM4,ssp585,Uzunköprü,SPEI,2030-2059,12,15,0.5,GEV,25.87,49.12,64.47
GFDL-ESM4,ssp585,Uzunköprü,SPEI,2070-2099,3,30,0.0,Lojistik,15.18,18.47,19.83
GFDL-ESM4,ssp585,Uzunköprü,SPEI,2070-2099,6,30,0.0,Weibull3,26.75,29.31,30.09
GFDL-ESM4,ssp585,Uzunköprü,SPEI,2070-2099,9,28,0.067,GEV,36.6,38.55,38.92
GFDL-ESM4,ssp585,Uzunköprü,SPEI,2070-2099,12,28,0.067,GEV,45.85,49.15,49.86
GFDL-ESM4,ssp585,Çorlu,SPI,2030-2059,3,18,0.4,LN3,5.5,9.34,11.15
GFDL-ESM4,ssp585,Çorlu,SPI,2030-2059,6,16,0.467,GEV,9.71,22.02,30.63
GFDL-ESM4,ssp585,Çorlu,SPI,2030-2059,9,14,0.533,GEV,13.22,30.05,42.42
GFDL-ESM4,ssp585,Çorlu,SPI,2070-2099,3,26,0.133,GEV,6.49,7.31,7.5
GFDL-ESM4,ssp585,Çorlu,SPI,2070-2099,6,24,0.2,GEV,11.92,13.92,14.44
GFDL-ESM4,ssp585,Çorlu,SPI,2070-2099,9,21,0.3,Normal,17.09,20.99,22.33
GFDL-ESM4,ssp585,Çorlu,SPI,2070-2099,12,17,0.433,Weibull3,21.45,28.44,31.04
GFDL-ESM4,ssp585,Çorlu,SPEI,2030-2059,3,23,0.233,Lojistik,7.51,10.01,11.03
GFDL-ESM4,ssp585,Çorlu,SPEI,2030-2059,6,22,0.267,GEV,14.5,21.74,24.96
GFDL-ESM4,ssp585,Çorlu,SPEI,2030-2059,9,18,0.4,Gumbel,21.22,30.74,34.7
GFDL-ESM4,ssp585,Çorlu,SPEI,2030-2059,12,15,0.5,GEV,26.63,39.8,45.71
GFDL-ESM4,ssp585,Çorlu,SPEI,2070-2099,3,30,0.0,Gamma3,12.47,15.0,15.91
GFDL-ESM4,ssp585,Çorlu,SPEI,2070-2099,6,30,0.0,Weibull3,22.46,25.31,26.22
GFDL-ESM4,ssp585,Çorlu,SPEI,2070-2099,9,29,0.033,GEV,31.62,33.25,33.53
GFDL-ESM4,ssp585,Çorlu,SPEI,2070-2099,12,29,0.033,Weibull3,40.09,45.53,47.32
GFDL-ESM4,ssp585,İpsala,SPI,2030-2059,3,17,0.433,Lojistik,3.83,5.22,5.78
GFDL-ESM4,ssp585,İpsala,SPI,2030-2059,6,13,0.567,Lojistik,6.7,8.79,9.61
GFDL-ESM4,ssp585,İpsala,SPI,2070-2099,3,28,0.067,Gamma3,5.6,7.26,7.9
GFDL-ESM4,ssp585,İpsala,SPI,2070-2099,6,25,0.167,Gumbel,10.23,14.04,15.65
GFDL-ESM4,ssp585,İpsala,SPI,2070-2099,9,25,0.167,Lojistik,14.59,18.83,20.58
GFDL-ESM4,ssp585,İpsala,SPI,2070-2099,12,20,0.333,Gumbel,19.6,27.49,30.79
GFDL-ESM4,ssp585,İpsala,SPEI,2030-2059,3,21,0.3,Gumbel,7.3,10.57,11.93
GFDL-ESM4,ssp585,İpsala,SPEI,2030-2059,6,19,0.367,Weibull3,12.89,17.39,18.99
GFDL-ESM4,ssp585,İpsala,SPEI,2030-2059,9,18,0.4,GEV,17.76,24.52,27.11
GFDL-ESM4,ssp585,İpsala,SPEI,2070-2099,3,30,0.0,GEV,12.25,12.65,12.7
GFDL-ESM4,ssp585,İpsala,SPEI,2070-2099,6,30,0.0,GEV,21.21,21.97,22.09
GFDL-ESM4,ssp585,İpsala,SPEI,2070-2099,9,29,0.033,GEV,30.02,31.61,31.9
GFDL-ESM4,ssp585,İpsala,SPEI,2070-2099,12,29,0.033,Weibull3,37.9,41.19,42.2
MRI-ESM2-0,ssp245,Edirne,SPI,2030-2059,3,19,0.367,LN3,3.76,7.02,8.71
MRI-ESM2-0,ssp245,Edirne,SPI,2030-2059,6,12,0.6,GEV,5.88,15.98,23.46
MRI-ESM2-0,ssp245,Edirne,SPI,2070-2099,3,22,0.267,LN3,6.93,10.36,11.81
MRI-ESM2-0,ssp245,Edirne,SPI,2070-2099,6,19,0.367,Normal,13.15,16.81,18.05
MRI-ESM2-0,ssp245,Edirne,SPI,2070-2099,9,16,0.467,Normal,18.86,23.72,25.35
MRI-ESM2-0,ssp245,Edirne,SPI,2070-2099,12,13,0.567,Lojistik,23.43,29.93,32.49
MRI-ESM2-0,ssp245,Edirne,SPEI,2030-2059,3,25,0.167,GEV,6.41,10.83,13.18
MRI-ESM2-0,ssp245,Edirne,SPEI,2030-2059,6,19,0.367,GEV,11.36,21.19,26.93
MRI-ESM2-0,ssp245,Edirne,SPEI,2030-2059,9,13,0.567,GEV,15.5,31.81,42.55
MRI-ESM2-0,ssp245,Edirne,SPEI,2030-2059,12,12,0.6,GEV,19.85,39.82,52.98
MRI-ESM2-0,ssp245,Edirne,SPEI,2070-2099,3,27,0.1,GEV,11.19,14.6,15.82
MRI-ESM2-0,ssp245,Edirne,SPEI,2070-2099,6,25,0.167,Lojistik,21.28,27.82,30.51
MRI-ESM2-0,ssp245,Edirne,SPEI,2070-2099,9,23,0.233,Weibull3,31.72,40.14,43.1
MRI-ESM2-0,ssp245,Edirne,SPEI,2070-2099,12,22,0.267,Gumbel,39.92,55.1,61.48
MRI-ESM2-0,ssp245,Kırklareli,SPI,2030-2059,3,20,0.333,GEV,3.62,7.42,9.79
MRI-ESM2-0,ssp245,Kırklareli,SPI,2070-2099,3,21,0.3,LN3,6.47,9.47,10.72
MRI-ESM2-0,ssp245,Kırklareli,SPI,2070-2099,6,20,0.333,Weibull3,12.4,16.84,18.44
MRI-ESM2-0,ssp245,Kırklareli,SPI,2070-2099,9,16,0.467,Normal,17.55,21.93,23.39
MRI-ESM2-0,ssp245,Kırklareli,SPI,2070-2099,12,13,0.567,Normal,22.06,27.11,28.77
MRI-ESM2-0,ssp245,Kırklareli,SPEI,2030-2059,3,25,0.167,GEV,6.48,10.78,13.08
MRI-ESM2-0,ssp245,Kırklareli,SPEI,2030-2059,6,21,0.3,GEV,11.56,21.72,27.75
MRI-ESM2-0,ssp245,Kırklareli,SPEI,2030-2059,9,13,0.567,GEV,14.7,80.91,192.68
MRI-ESM2-0,ssp245,Kırklareli,SPEI,2030-2059,12,12,0.6,GEV,18.84,70.19,134.58
MRI-ESM2-0,ssp245,Kırklareli,SPEI,2070-2099,3,27,0.1,LN3,11.6,15.48,16.99
MRI-ESM2-0,ssp245,Kırklareli,SPEI,2070-2099,6,24,0.2,GEV,21.83,25.26,26.14
MRI-ESM2-0,ssp245,Kırklareli,SPEI,2070-2099,9,22,0.267,Weibull3,30.51,36.54,38.54
MRI-ESM2-0,ssp245,Kırklareli,SPEI,2070-2099,12,21,0.3,Weibull3,38.51,47.64,50.83
MRI-ESM2-0,ssp245,Lüleburgaz,SPI,2030-2059,3,15,0.5,GEV,4.77,8.39,10.21
MRI-ESM2-0,ssp245,Lüleburgaz,SPI,2070-2099,3,19,0.367,Gamma3,6.49,10.28,11.88
MRI-ESM2-0,ssp245,Lüleburgaz,SPI,2070-2099,6,16,0.467,GEV,11.89,14.2,14.77
MRI-ESM2-0,ssp245,Lüleburgaz,SPI,2070-2099,9,14,0.533,GEV,16.23,19.32,20.12
MRI-ESM2-0,ssp245,Lüleburgaz,SPI,2070-2099,12,12,0.6,Lojistik,19.35,24.7,26.78
MRI-ESM2-0,ssp245,Lüleburgaz,SPEI,2030-2059,3,23,0.233,LN3,9.2,21.25,28.41
MRI-ESM2-0,ssp245,Lüleburgaz,SPEI,2030-2059,6,16,0.467,GEV,14.95,26.52,32.29
MRI-ESM2-0,ssp245,Lüleburgaz,SPEI,2030-2059,9,15,0.5,GEV,19.76,42.82,57.35
MRI-ESM2-0,ssp245,Lüleburgaz,SPEI,2030-2059,12,14,0.533,Weibull3,25.14,45.22,53.5
