ssp,pencere,indeks,name,D,T10_gel,T50_gel,T100_gel,T10_tar,T50_tar,T100_tar,dT10_%,dT50_%,dT100_%
ssp245,2030-2059,SPI,Tekirdağ,12,18.27,21.78,23.19,15.48,22.55,25.84,18.0,-3.0,-10.0
ssp245,2030-2059,SPI,Uzunköprü,3,4.66,6.77,7.59,5.23,6.47,6.78,-11.0,5.0,12.0
ssp245,2030-2059,SPI,Uzunköprü,6,8.26,10.825,11.795,9.64,12.1,12.77,-14.0,-11.0,-8.0
ssp245,2030-2059,SPI,Uzunköprü,9,13.08,16.57,17.98,13.5,17.01,18.16,-3.0,-3.0,-1.0
ssp245,2030-2059,SPI,Uzunköprü,12,16.22,21.95,24.33,16.71,22.18,24.14,-3.0,-1.0,1.0
ssp245,2030-2059,SPI,Çorlu,3,4.89,6.62,7.32,5.19,7.44,8.27,-6.0,-11.0,-11.0
ssp245,2030-2059,SPI,Çorlu,6,9.655,11.370000000000001,11.915,9.47,13.69,15.39,2.0,-17.0,-23.0
ssp245,2030-2059,SPI,Çorlu,9,15.83,17.58,18.1,13.34,17.98,19.83,19.0,-2.0,-9.0
ssp245,2030-2059,SPI,Çorlu,12,20.1,22.31,22.96,17.25,24.84,27.76,17.0,-10.0,-17.0
ssp245,2030-2059,SPI,İpsala,3,3.82,5.68,6.44,4.97,6.56,7.19,-23.0,-13.0,-10.0
ssp245,2030-2059,SPI,İpsala,6,7.63,10.075,10.93,9.41,13.83,15.67,-19.0,-27.0,-30.0
ssp245,2030-2059,SPI,İpsala,9,12.47,14.35,14.82,13.42,21.5,25.17,-7.0,-33.0,-41.0
ssp245,2030-2059,SPI,İpsala,12,14.9,19.61,22.04,16.49,27.17,32.39,-10.0,-28.0,-32.0
ssp245,2070-2099,SPEI,Edirne,3,11.03,14.34,15.58,5.21,7.42,8.29,112.0,93.0,88.0
ssp245,2070-2099,SPEI,Edirne,6,20.36,24.99,26.61,8.84,13.2,15.1,130.0,89.0,76.0
ssp245,2070-2099,SPEI,Edirne,9,29.89,34.86,36.21,11.79,18.3,21.41,154.0,90.0,69.0
ssp245,2070-2099,SPEI,Edirne,12,38.59,43.53,44.66,13.97,24.12,29.47,176.0,80.0,52.0
ssp245,2070-2099,SPEI,Kırklareli,3,10.89,14.02,15.18,5.16,8.3,9.79,111.0,69.0,55.0
ssp245,2070-2099,SPEI,Kırklareli,6,20.22,22.86,24.12,9.45,15.93,19.19,114.0,44.0,26.0
ssp245,2070-2099,SPEI,Kırklareli,9,29.0,32.37,34.47,12.6,23.78,30.6,130.0,36.0,13.0
ssp245,2070-2099,SPEI,Kırklareli,12,37.2,41.89,44.31,15.27,29.94,39.73,144.0,40.0,12.0
ssp245,2070-2099,SPEI,Lüleburgaz,3,12.84,19.22,21.89,6.2,18.25,26.8,107.0,5.0,-18.0
ssp245,2070-2099,SPEI,Lüleburgaz,6,22.54,33.72,37.7,10.4,24.36,32.53,117.0,38.0,16.0
ssp245,2070-2099,SPEI,Lüleburgaz,9,32.32,40.66,46.42,13.17,27.84,35.28,145.0,46.0,32.0
ssp245,2070-2099,SPEI,Sarıyer,3,8.57,10.82,11.51,5.21,7.43,8.35,64.0,46.0,38.0
ssp245,2070-2099,SPEI,Sarıyer,6,16.0,19.95,21.08,9.24,12.59,13.9,73.0,58.0,52.0
ssp245,2070-2099,SPEI,Sarıyer,9,22.8,28.86,30.46,12.61,16.98,18.78,81.0,70.0,62.0
ssp245,2070-2099,SPEI,Sarıyer,12,29.41,37.6,39.76,16.2,22.76,25.37,82.0,65.0,57.0
ssp245,2070-2099,SPEI,Tekirdağ,3,8.34,10.29,11.12,5.23,7.44,8.34,59.0,38.0,33.0
ssp245,2070-2099,SPEI,Tekirdağ,6,15.79,19.16,20.61,10.14,14.18,15.64,56.0,35.0,32.0
ssp245,2070-2099,SPEI,Tekirdağ,9,22.74,29.25,30.46,13.89,21.17,24.34,64.0,38.0,25.0
ssp245,2070-2099,SPEI,Tekirdağ,12,29.59,33.77,36.36,17.12,27.16,31.21,73.0,24.0,17.0
ssp245,2070-2099,SPEI,Uzunköprü,3,10.57,15.62,17.7,5.42,7.66,8.56,95.0,104.0,107.0
ssp245,2070-2099,SPEI,Uzunköprü,6,20.81,31.26,35.46,9.87,13.71,15.23,111.0,128.0,133.0
ssp245,2070-2099,SPEI,Uzunköprü,9,27.71,37.47,41.23,13.86,20.37,23.03,100.0,84.0,79.0
ssp245,2070-2099,SPEI,Uzunköprü,12,34.21,41.61,42.81,16.92,24.9,28.14,102.0,67.0,52.0
ssp245,2070-2099,SPEI,Çorlu,3,9.08,13.43,15.16,5.43,8.08,9.18,67.0,66.0,65.0
ssp245,2070-2099,SPEI,Çorlu,6,17.22,23.85,25.7,10.09,16.01,18.75,71.0,49.0,37.0
ssp245,2070-2099,SPEI,Çorlu,9,23.95,33.23,35.46,14.17,22.24,26.06,69.0,49.0,36.0
ssp245,2070-2099,SPEI,Çorlu,12,28.86,38.89,42.5,17.46,27.96,33.41,65.0,39.0,27.0
ssp245,2070-2099,SPEI,İpsala,3,8.99,11.97,13.11,5.49,7.8,8.63,64.0,53.0,52.0
ssp245,2070-2099,SPEI,İpsala,6,15.76,21.26,23.52,9.5,13.82,15.41,66.0,54.0,53.0
ssp245,2070-2099,SPEI,İpsala,9,21.69,27.25,29.17,13.62,19.71,21.91,59.0,38.0,33.0
ssp245,2070-2099,SPEI,İpsala,12,27.77,35.01,37.14,16.2,27.49,32.84,71.0,27.0,13.0
ssp245,2070-2099,SPI,Edirne,3,5.05,6.9,8.59,4.57,5.93,6.41,11.0,16.0,34.0
ssp245,2070-2099,SPI,Edirne,6,8.86,11.65,12.95,8.07,9.41,9.74,10.0,24.0,33.0
ssp245,2070-2099,SPI,Edirne,9,15.335,20.21,22.025,11.08,13.65,14.52,38.0,48.0,52.0
ssp245,2070-2099,SPI,Edirne,12,23.43,29.93,32.49,13.53,17.02,18.39,73.0,76.0,77.0
ssp245,2070-2099,SPI,Kırklareli,3,4.74,6.02,6.77,4.66,7.11,8.14,2.0,-15.0,-17.0
ssp245,2070-2099,SPI,Kırklareli,6,8.31,11.89,13.36,8.88,15.78,19.42,-6.0,-25.0,-31.0
ssp245,2070-2099,SPI,Kırklareli,9,14.57,19.705,21.655,12.79,23.1,28.62,14.0,-15.0,-24.0
ssp245,2070-2099,SPI,Kırklareli,12,18.78,23.605,25.33,16.64,27.09,31.32,13.0,-13.0,-19.0
ssp245,2070-2099,SPI,Lüleburgaz,3,4.21,6.5,8.56,5.07,7.01,7.8,-17.0,-7.0,10.0
ssp245,2070-2099,SPI,Lüleburgaz,6,9.495000000000001,12.48,13.52,9.08,12.55,13.94,5.0,-1.0,-3.0
ssp245,2070-2099,SPI,Lüleburgaz,9,12.895,17.145,18.62,12.29,16.69,18.42,5.0,3.0,1.0
ssp245,2070-2099,SPI,Lüleburgaz,12,19.35,24.7,26.78,15.5,21.1,23.29,25.0,17.0,15.0
ssp245,2070-2099,SPI,Sarıyer,3,4.87,6.86,7.6,5.29,7.08,7.76,-8.0,-3.0,-2.0
ssp245,2070-2099,SPI,Sarıyer,6,9.26,14.28,16.28,9.12,12.63,14.06,2.0,13.0,16.0
ssp245,2070-2099,SPI,Sarıyer,9,12.84,21.73,28.32,12.58,17.36,19.26,2.0,25.0,47.0
ssp245,2070-2099,SPI,Sarıyer,12,17.47,23.11,25.31,15.41,22.16,24.82,13.0,4.0,2.0
ssp245,2070-2099,SPI,Tekirdağ,3,4.97,7.2,8.06,5.17,7.82,8.83,-4.0,-8.0,-9.0
ssp245,2070-2099,SPI,Tekirdağ,6,10.45,13.545,14.525,9.28,12.58,13.9,13.0,8.0,4.0
ssp245,2070-2099,SPI,Tekirdağ,9,14.77,17.880000000000003,18.89,12.95,18.24,20.41,14.0,-2.0,-7.0
ssp245,2070-2099,SPI,Tekirdağ,12,19.89,23.32,24.3,15.48,22.55,25.84,28.0,3.0,-6.0
ssp245,2070-2099,SPI,Uzunköprü,3,4.16,6.03,7.61,5.23,6.47,6.78,-20.0,-7.0,12.0
ssp245,2070-2099,SPI,Uzunköprü,6,9.345,11.55,12.245000000000001,9.64,12.1,12.77,-3.0,-5.0,-4.0
ssp245,2070-2099,SPI,Uzunköprü,9,12.684999999999999,16.45,18.060000000000002,13.5,17.01,18.16,-6.0,-3.0,-1.0
