ssp,pencere,indeks,name,D,T10_gel,T50_gel,T100_gel,T10_tar,T50_tar,T100_tar,dT10_%,dT50_%,dT100_%
ssp585,2070-2099,SPI,Kırklareli,9,20.53,30.0,31.96,12.79,23.1,28.62,61.0,30.0,12.0
ssp585,2070-2099,SPI,Kırklareli,12,26.33,35.51,37.14,16.64,27.09,31.32,58.0,31.0,19.0
ssp585,2070-2099,SPI,Lüleburgaz,3,6.62,9.96,11.52,5.07,7.01,7.8,31.0,42.0,48.0
ssp585,2070-2099,SPI,Lüleburgaz,6,13.01,18.6,20.95,9.08,12.55,13.94,43.0,48.0,50.0
ssp585,2070-2099,SPI,Lüleburgaz,9,18.99,26.84,29.89,12.29,16.69,18.42,55.0,61.0,62.0
ssp585,2070-2099,SPI,Lüleburgaz,12,24.45,32.93,36.18,15.5,21.1,23.29,58.0,56.0,55.0
ssp585,2070-2099,SPI,Sarıyer,3,7.3,8.85,9.31,5.29,7.08,7.76,38.0,25.0,20.0
ssp585,2070-2099,SPI,Sarıyer,6,13.73,17.65,19.04,9.12,12.63,14.06,51.0,40.0,35.0
ssp585,2070-2099,SPI,Sarıyer,9,19.28,23.67,25.18,12.58,17.36,19.26,53.0,36.0,31.0
ssp585,2070-2099,SPI,Sarıyer,12,24.24,29.85,31.77,15.41,22.16,24.82,57.0,35.0,28.0
ssp585,2070-2099,SPI,Tekirdağ,3,6.69,8.03,8.45,5.17,7.82,8.83,29.0,3.0,-4.0
ssp585,2070-2099,SPI,Tekirdağ,6,11.99,13.58,13.98,9.28,12.58,13.9,29.0,8.0,1.0
ssp585,2070-2099,SPI,Tekirdağ,9,17.46,19.08,19.61,12.95,18.24,20.41,35.0,5.0,-4.0
ssp585,2070-2099,SPI,Tekirdağ,12,22.46,24.42,24.79,15.48,22.55,25.84,45.0,8.0,-4.0
ssp585,2070-2099,SPI,Uzunköprü,3,6.29,9.06,10.21,5.23,6.47,6.78,20.0,40.0,51.0
ssp585,2070-2099,SPI,Uzunköprü,6,12.02,17.12,19.22,9.64,12.1,12.77,25.0,41.0,51.0
ssp585,2070-2099,SPI,Uzunköprü,9,17.74,25.04,27.97,13.5,17.01,18.16,31.0,47.0,54.0
ssp585,2070-2099,SPI,Uzunköprü,12,22.84,30.33,33.16,16.71,22.18,24.14,37.0,37.0,37.0
ssp585,2070-2099,SPI,Çorlu,3,6.58,7.69,8.06,5.19,7.44,8.27,27.0,3.0,-3.0
ssp585,2070-2099,SPI,Çorlu,6,12.58,15.09,15.95,9.47,13.69,15.39,33.0,10.0,4.0
ssp585,2070-2099,SPI,Çorlu,9,18.51,23.26,25.2,13.34,17.98,19.83,39.0,29.0,27.0
ssp585,2070-2099,SPI,Çorlu,12,23.21,29.01,31.34,17.25,24.84,27.76,35.0,17.0,13.0
ssp585,2070-2099,SPI,İpsala,3,5.6,7.26,7.9,4.97,6.56,7.19,13.0,11.0,10.0
ssp585,2070-2099,SPI,İpsala,6,10.23,14.04,15.65,9.41,13.83,15.67,9.0,2.0,-0.0
ssp585,2070-2099,SPI,İpsala,9,14.59,18.83,20.58,13.42,21.5,25.17,9.0,-12.0,-18.0
ssp585,2070-2099,SPI,İpsala,12,19.6,27.49,30.79,16.49,27.17,32.39,19.0,1.0,-5.0
